"1st psyc collab care mgmt","99492","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","145.41","","","","","","","fee schedule","53.95","145.41",""
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Exchange","965.57","","","","","","","fee schedule","729.11","2472.37",""
"2vhpv vaccine 3 dose im","90650","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Lowcountry Blue Exchange","121.01","","","","","","","fee schedule","121.01","326.17",""
"3-d radiotherapy plan","77295","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","3699.18","","","","","","","fee schedule","1287.35","3699.18",""
"5% dextrose in lac ringers","J7121","HCPCS","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","12.21","","","","","","","fee schedule","12.21","12.79",""
"9vhpv vaccine 3 dose im","90651","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","384.83","","","","","","","fee schedule","142.78","741.51",""
"ACETAMINOPHEN 325 MG TABLET","0904-6773-61","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG TABLET","3786400103","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY","0472-1200-01","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 250 MG TABLET","72888-048-01","NDC","","","","","facility","both","1","EA","","22","11","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETONE LIQUID","395001994","NDC","","","","","facility","both","1","EA","","75","37.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 ML"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION","67457-855-00","NDC","","","","","facility","both","1","EA","","49","24.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 ML"
"AFO supramalleolar custom","L1907","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","709.18","","","","","","","fee schedule","695.27","764.8","APC"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION","68516-5219-2","NDC","","","","","facility","both","1","EA","","382","191","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 500 ML"
