"1st psyc collab care mgmt","99492","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","56.79","","","","","","","fee schedule","53.95","145.41",""
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","23.77","","","","","","","fee schedule","22.58","60.86",""
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Preferred Blue Ppo","56.69","","","","","","","fee schedule","22.58","60.86",""
"ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION","0003-2187-13","NDC","","","","","facility","both","1","EA","","4111","2055.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION","55150-307-24","NDC","","","","","facility","both","1","EA","","106","53","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY","51672-2116-2","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION","81033-002-30","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20.3 ML"
"ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY","51672-2114-0","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION","63323-963-30","NDC","","","","","facility","both","1","EA","","452","226","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION","63323-694-04","NDC","","","","","facility","both","1","EA","","116","58","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 ML"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION","63323-325-20","NDC","","","","","facility","both","1","EA","","248","124","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20 ML"
"ACYCLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION","55390-612-10","NDC","","","","","facility","both","1","EA","","37","18.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION","50242-088-01","NDC","","","","","facility","both","1","EA","","17984","8992","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION","68516-5219-0","NDC","","","","","facility","both","1","EA","","382","191","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 500 ML"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","66689-060-99","NDC","","","","","facility","both","1","EA","","28","14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION","60432-093-16","NDC","","","","","facility","both","1","EA","","244","122","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 473 ML"
"AMINO ACIDS 3% WITH ELECTROLYTES AND GLYCERIN INTRAVENOUS","0264-1915-07","NDC","","","","","facility","both","1","EA","","88","44","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 ML"
"AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION","67457-153-00","NDC","","","","","facility","both","1","EA","","32","16","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 3 ML"
"AMITRIPTYLINE 50 MG TABLET","0904-7185-61","NDC","","","","","facility","both","1","EA","","11","5.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 5 MG TABLET","68382-122-16","NDC","","","","","facility","both","1","EA","","15","7.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION","0143-9889-15","NDC","","","","","facility","both","1","EA","","46","23","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 150 ML"
"AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION","0781-6041-58","NDC","","","","","facility","both","1","EA","","36","18","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 80 ML"
"AMOXICILLIN 500 MG CAPSULE","65862-017-01","NDC","","","","","facility","both","1","EA","","8","4","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
