"14MM","27810578","CDM","0278","RC","C1776","HCPCS","facility","both","","","","5156","2578","","","","","","","","","","","","","Gross Charge Type: standard"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","238.56","","","","","","","fee schedule","221.92","244.11","APC"
"4vhpv vaccine 3 dose im","90649","HCPCS","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","269.09","","","","","","","fee schedule","122.45","330.03",""
"5% dextrose and 0.45% saline","S5010","HCPCS","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","12.09","","","","","","","fee schedule","12.09","12.09",""
"9vhpv vaccine 3 dose im","90651","HCPCS","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","516.78","","","","","","","fee schedule","142.78","741.51",""
"ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET","68084-372-11","NDC","","","","","facility","both","1","EA","","9","4.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION","70594-111-01","NDC","","","","","facility","both","1","EA","","249","124.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ADALIMUMAB 20 MG/0.2 ML SUBCUTANEOUS SYRINGE KIT","0074-0616-02","NDC","","","","","facility","both","1","EA","","9393","4696.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION","0703-8777-01","NDC","","","","","facility","both","1","EA","","523","261.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER","0781-7296-85","NDC","","","","","facility","both","1","EA","","265","132.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 6.7 G"
"ALPRAZOLAM ER 2 MG TABLET,EXTENDED RELEASE 24 HR","0009-0066-07","NDC","","","","","facility","both","1","EA","","126","63","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL 20 MCG INTRACAVERNOSAL KIT","0009-5182-01","NDC","","","","","facility","both","1","EA","","435","217.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL 500 MCG/ML INJECTION SOLUTION","0009-3169-06","NDC","","","","","facility","both","1","EA","","692","346","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 ML"
"AMLODIPINE 2.5 MG TABLET","67877-197-90","NDC","","","","","facility","both","1","EA","","16","8","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 125 MG TABLET","0781-1874-31","NDC","","","","","facility","both","1","EA","","40","20","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION","0781-9408-95","NDC","","","","","facility","both","1","EA","","102","51","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 15 GRAM SOLUTION FOR INJECTION","0641-6118-01","NDC","","","","","facility","both","1","EA","","280","140","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION","63402-911-30","NDC","","","","","facility","both","1","EA","","142","71","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 ML"
"ARIPIPRAZOLE 2 MG TABLET","13668-216-30","NDC","","","","","facility","both","1","EA","","191","95.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 5 MG TABLET","16714-142-01","NDC","","","","","facility","both","1","EA","","189","94.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARSENIC TRIOXIDE 1 MG/ML INTRAVENOUS SOLUTION","68382-997-10","NDC","","","","","facility","both","1","EA","","1736","868","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10 ML"
