"1st psyc collab care mgmt","99492","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","96.38","","","","","","","fee schedule","53.95","145.41","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","60.86","","","","","","","fee schedule","22.58","60.86",""
"2vhpv vaccine 3 dose im","90650","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","326.17","","","","","","","fee schedule","121.01","326.17",""
"3-d radiotherapy plan","77295","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Preferred Blue Ppo","3445.58","","","","","","","fee schedule","1287.35","3699.18",""
"3d anat seg imaging preop","C8001","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","122.07","","","","","","","fee schedule","119.68","131.64","APC"
"4vhpv vaccine 3 dose im","90649","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Exchange","128.89","","","","","","","fee schedule","122.45","330.03",""
"ABACAVIR 300 MG TABLET","51079-204-06","NDC","","","","","facility","both","1","EA","","63","31.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY","45802-732-30","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG/20.3 ML ORAL SUSPENSION","68094-030-59","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20.3 ML"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION","63323-651-04","NDC","","","","","facility","both","1","EA","","178","89","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 ML"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION","63323-651-04","NDC","","","","","facility","both","1","EA","","178","89","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 ML"
"AFO spiral prefabricated","L1951","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","1058.46","","","","","","","fee schedule","1037.71","1141.48","APC"
"ALBUMIN 5% IN 0.9% SODIUM CHLORIDE (HEMAPHERESIS-STOCK)","0000-9206-41","NDC","","","","","facility","both","1","EA","","1466","733","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1000 ML"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION","68516-5216-0","NDC","","","","","facility","both","1","EA","","383","191.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"ALBUTEROL SULFATE CONCENTRATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION","0487-9901-30","NDC","","","","","facility","both","1","EA","","12","6","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM ER 1 MG TABLET,EXTENDED RELEASE 24 HR","0009-0059-07","NDC","","","","","facility","both","1","EA","","96","48","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","57896-629-12","NDC","","","","","facility","both","1","EA","","28","14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 355 ML"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP","66689-060-01","NDC","","","","","facility","both","1","EA","","28","14","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"AMBRISENTAN 5 MG TABLET","61958-0801-1","NDC","","","","","facility","both","1","EA","","1293","646.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMIKACIN 1,000 MG/4 ML INJECTION SOLUTION","0641-6166-10","NDC","","","","","facility","both","1","EA","","116","58","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 4 ML"
"AMIKACIN 500 MG/2 ML INJECTION SOLUTION","0703-9032-01","NDC","","","","","facility","both","1","EA","","90","45","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 ML"
"AMINOPHYLLINE 25 MG/ML INFUSION","0000-9000-10","NDC","","","","","facility","both","1","EA","","816","408","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 100 ML"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION","0409-3720-01","NDC","","","","","facility","both","1","EA","","55","27.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ASCORBIC ACID (VITAMIN C) 500 MG/ML INTRAVENOUS SOLUTION","67157-101-50","NDC","","","","","facility","both","1","EA","","1103","551.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 ML"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE","49348-980-23","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATENOLOL 100 MG TABLET","68382-024-01","NDC","","","","","facility","both","1","EA","","13","6.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATENOLOL 2 MG/ML ORAL SUSPENSION (FROM TABLETS)","0000-0014-38","NDC","","","","","facility","both","1","EA","","12","6","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ATENOLOL 50 MG TABLET","0093-0752-01","NDC","","","","","facility","both","1","EA","","10","5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 80 MG TABLET","60505-2671-8","NDC","","","","","facility","both","1","EA","","39","19.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATROPINE 0.1 MG/ML INJECTION SYRINGE","0409-4910-11","NDC","","","","","facility","both","1","EA","","141","70.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION","63323-398-10","NDC","","","","","facility","both","1","EA","","57","28.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"Abatacept injection","J0129","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Lowcountry Blue Exchange","22.42","","","","","","","fee schedule","22.42","92.11",""
