"2d cephalometric image","D0340","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","80.94","","","","","","","fee schedule","80.94","114.19","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Preferred Blue Ppo","2302.88","","","","","","","fee schedule","729.11","2472.37",""
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","743.69","","","","","","","fee schedule","729.11","2472.37","APC"
"3d bn img algor drvd fr mri","G0566","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","119.68","","","","","","","fee schedule","119.68","131.64","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","2130.91","","","","","","","fee schedule","2089.13","2298.04","APC"
"ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY","51672-2114-4","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE","29033-030-01","NDC","","","","","facility","both","1","EA","","30","15","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION","0574-0521-04","NDC","","","","","facility","both","1","EA","","102","51","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 120 ML"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","facility","outpatient","","","","","","Molina","Exchange","761.96","","","","","","","fee schedule","692.69","761.96","APC"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION","68516-5216-3","NDC","","","","","facility","both","1","EA","","194","97","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 50 ML"
"ALTEPLASE-TPA (ACTIVASE) INFUSION OVER 1 HOUR (ADULT STROKE)","0000-9000-07","NDC","","","","","facility","both","1","EA","","352","176","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMIKACIN 500 MG/2 ML INJECTION SOLUTION","0703-9032-03","NDC","","","","","facility","both","1","EA","","90","45","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 2 ML"
"AMIKACIN SUBCONJUNCTIVAL INJ 50 MG/ML","0000-0002-54","NDC","","","","","facility","both","1","EA","","164","82","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 ML"
"AMILORIDE 5 MG TABLET","49884-117-01","NDC","","","","","facility","both","1","EA","","13","6.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMIODARONE 200 MG TABLET","0245-0147-01","NDC","","","","","facility","both","1","EA","","51","25.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMIODARONE 360 MG/200 ML (1.8 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV","43066-360-20","NDC","","","","","facility","both","1","EA","","110","55","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 200 ML"
"AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET","60687-803-01","NDC","","","","","facility","both","1","EA","","50","25","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 1 GRAM SOLUTION FOR INJECTION","0781-9404-95","NDC","","","","","facility","both","1","EA","","55","27.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 1 GRAM SOLUTION FOR INJECTION","25021-136-10","NDC","","","","","facility","both","1","EA","","33","16.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION","63323-368-20","NDC","","","","","facility","both","1","EA","","32","16","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR (RECOMB) 250 (+/-) UNIT INTRAVENOUS SOLUTION","0944-2841-10","NDC","","","","","facility","both","1","EA","","19","9.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR VIII, FULL LENGTH 1,000 (+/-) UNIT IV SOLUTION","0944-3053-03","NDC","","","","","facility","both","1","EA","","18","9","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"APREPITANT 80 MG CAPSULE","0781-2322-46","NDC","","","","","facility","both","1","EA","","694","347","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 2 MG TABLET","60687-157-21","NDC","","","","","facility","both","1","EA","","184","92","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ASCORBIC ACID (VITAMIN C) 500 MG TABLET","904052360","NDC","","","","","facility","both","1","EA","","6","3","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ASPARAGINASE ERWINIA CHRYSANTHEMI-RYWN 10 MG/0.5 ML IM SOLUTION","68727-900-03","NDC","","","","","facility","both","1","EA","","14198","7099","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 0.5 ML"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE","10939-95419","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 10 MG TABLET","60505-2578-9","NDC","","","","","facility","both","1","EA","","29","14.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 40 MG TABLET","68084-099-11","NDC","","","","","facility","both","1","EA","","10","5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
