"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","2472.37","","","","","","","fee schedule","729.11","2472.37",""
"2vhpv vaccine 3 dose im","90650","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","127.38","","","","","","","fee schedule","121.01","326.17",""
"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE","51079-241-06","NDC","","","","","facility","both","1","EA","","14","7","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET","50580-458-11","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG TABLET","0904-6720-24","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 500 MG TABLET","0904-6720-40","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE 100 MG/ML (10%) ORAL LIQUID","0409-3307-03","NDC","","","","","facility","both","1","EA","","145","72.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ACETYLCYSTEINE 100 MG/ML (10%) ORAL LIQUID","0409-3307-03","NDC","","","","","facility","both","1","EA","","145","72.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 30 ML"
"ACETYLCYSTEINE 600 MG CAPSULE","0000-0000-09","NDC","","","","","facility","both","1","EA","","8","4","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACITRETIN 25 MG CAPSULE","0378-7023-93","NDC","","","","","facility","both","1","EA","","227","113.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR 200 MG CAPSULE","75834-124-01","NDC","","","","","facility","both","1","EA","","6","3","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
