"AMPHOTERICIN B LIPID (FROM INJ) INH SOLN 100 MG/20 ML","0000-0010-31","NDC","","","","","facility","both","1","EA","","431","215.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 20 ML"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION","72485-422-10","NDC","","","","","facility","both","1","EA","","55","27.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 250 MG SOLUTION FOR INJ DILUTION FOR ACUDOSE","25021-134-10","NDC","","","","","facility","both","1","EA","","19","9.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION","55150-117-20","NDC","","","","","facility","both","1","EA","","90","45","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR VIII, FULL LENGTH 3,000 (+/-) UNIT IV SOLUTION","0944-3046-10","NDC","","","","","facility","both","1","EA","","19","9.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 2 MG TABLET","72865-180-30","NDC","","","","","facility","both","1","EA","","6","3","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 5 MG TABLET","0904-6510-61","NDC","","","","","facility","both","1","EA","","139","69.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ASENAPINE 5 MG SUBLINGUAL TABLET","0456-2405-60","NDC","","","","","facility","both","1","EA","","151","75.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG CHEWABLE TABLET","66553-002-01","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATOMOXETINE 60 MG CAPSULE","0093-3546-56","NDC","","","","","facility","both","1","EA","","95","47.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ATROPINE 0.1 MG/ML INJECTION SYRINGE","16729-484-90","NDC","","","","","facility","both","1","EA","","68","34","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"ATROPINE 1 % SUBLINGUAL DROPS","17478-215-05","NDC","","","","","facility","both","1","EA","","203","101.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"ATROPINE 1 % SUBLINGUAL DROPS","17478-215-05","NDC","","","","","facility","both","1","EA","","203","101.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 5 ML"
"AZATHIOPRINE 100 MG SOLUTION FOR INJECTION","0143-9566-01","NDC","","","","","facility","both","1","EA","","1019","509.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 250 MG TABLET","50111-787-10","NDC","","","","","facility","both","1","EA","","50","25","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 500 MG INTRAVENOUS SOLUTION","0069-3150-83","NDC","","","","","facility","both","1","EA","","48","24","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"Abciximab injection","J0130","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","1960.44","","","","","","","fee schedule","727.36","2143.61",""
"Abd paracentesis w/imaging","49083","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","600.97","","","","","","","fee schedule","570.92","1538.79",""
"Abduct control hip semi-flex","L1630","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","198.25","","","","","","","fee schedule","198.25","218.08","APC"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","facility","outpatient","","","","","","Molina","Exchange","121.03","","","","","","","fee schedule","110.03","121.03","APC"
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","17530.9","","","","","","","fee schedule","4854.06","17938.6","APC"
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","13083.14","","","","","","","fee schedule","4854.06","17938.6",""
"Ablate heart dysrhythm focus","93650","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","5559.79","","","","","","","fee schedule","5281.8","14236",""
"Ablate inf turbinate superf","30801","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","2173.06","","","","","","","fee schedule","806.24","2173.06",""
"Abltj perc lxtr/perph nrv","0441T","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","1330.86","","","","","","","fee schedule","1264.32","3407.72",""
"Abltj perc plex/trncl nrv","0442T","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","8162.22","","","","","","","fee schedule","4107.98","11072.21","APC"
"Abltj perc plex/trncl nrv","0442T","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","11072.21","","","","","","","fee schedule","4107.98","11072.21",""
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Lowcountry Blue Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","facility","inpatient","","","","","","Clover Health","Medicare Managed Care Plan","11059.74","","","","","","","fee schedule","8020.24","16278.1","MSDRG Base Rate"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","facility","inpatient","","","","","","Optum Health Care Solutions","Transplant","","","[BMT-Allogeneic related-Case Rate: 146404 Days: 15 Additional Days: 3008] [BMT-Allogeneic unrelated-Case Rate: 185658 Days: 15 Additional Days: 3008] [BMT-Autologous-other-Case Rate: 103968 Days: 15 Additional Days: 3008] [Heart Transplant-Case Rate: 186718 Days: 20 Additional Days: 3453] [Kidney Transplant-Live Donor-Case Rate: 90177 Days: 6 Additional Days: 3453] [Kidney Transplant-Cadaveric Donor-Case Rate: 84872 Days: 10 Additional Days: 3453] [Kidney/Pancreas Simul. Transplant-Case Rate: 153831 Days: 14 Additional Days: 3453] [Kidney/Liver Simul. Transplant-Case Rate: 254616 Days: 15 Additional Days: 3453] [Liver Transplant-Live Donor-Case Rate: 180825 Days: 15 Additional Days: 3453] [Liver Transplant-Cadaveric Donor-Case Rate: 186718 Days: 15 Additional Days: 3453] [Lung Transplant-Double-Case Rate: 246129 Days: 30 Additional Days: 3453] [Lung Transplant-Single-Case Rate: 209634 Days: 25 Additional Days: 3453] [Pancreas Transplant-Case Rate: 89858 Days: 10 Additional Days: 3453]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","facility","inpatient","","","","","","Unitedhealthcare","All Commercial Plans","","","[MSDRG Base Rate: FEE SCHEDULE] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 8637 (%BC): 58.60] [All Other IP (%BC): 58.60]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","facility","inpatient","","","","","","Molina","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Above knee wood socket","L5644","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","777.32","","","","","","","fee schedule","723.09","795.4","APC"
"Acetone assay","82010","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","8.78","","","","","","","fee schedule","8.17","60.46","APC"
"Acetylcholinesterase assay","82013","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","12.54","","","","","","","fee schedule","12.29","110.3","APC"
"Acetylcholinesterase assay","82013","HCPCS","","","","","facility","outpatient","","","","","","Molina","Exchange","13.52","","","","","","","fee schedule","12.29","110.3","APC"
"Actigraphy testing","95803","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Employee","174.42","","","","","","","fee schedule","54.87","341.92",""
"Acute & Subacute Endocarditis","126","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Medicaid Managed Care Plan","","","[Lesser Than Charges paid at %: 100]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute & Subacute Endocarditis","126","MS-DRG","","","","","facility","inpatient","","","","","","Clover Health","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","facility","inpatient","","","","","","Ambetter Health","Transplant","","","[BMT-Allogeneic related-Case Rate: 188490 Days: 40 Additional Days: 5923] [BMT-Allogeneic unrelated-Case Rate: 230720 Days: 40 Additional Days: 5923] [BMT-Autologous-other-Case Rate: 133900 Days: 30 Additional Days: 5923] [Heart Transplant-Case Rate: 269860 Days: 25 Additional Days: 5923] [Kidney Transplant-Case Rate: 101970 Days: 15 Additional Days: 5923] [Liver Transplant-Case Rate: 249260 Days: 25 Additional Days: 5923] [Lung Transplant-Double-Case Rate: 329600 Days: 30 Additional Days: 5923] [Lung Transplant-Single-Case Rate: 236900 Days: 25 Additional Days: 5923] [Pancreas Transplant-Case Rate: 149350 Days: 15 Additional Days: 5923]","","","","0","other","","","No services performed during 15-month lookback period."
