"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",361,RC,14040,CPT,,,,,facility,outpatient,,,,,Healthspring (Cigna Medicare Advantage),Medicare Advantage,,1864.34,,,,,,,1722.29,7278.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",361,RC,14040,CPT,,,,,facility,outpatient,,,,,Optum,VACCN Behavioral Health,,1775.56,,,,,,,1722.29,7278.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10 SQ CM OR LESS",360,RC,14000,CPT,,,,,facility,outpatient,,,,,Aetna,Commercial,,7278.00,,,,,,,1722.29,7278.00,case rate,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10.1 SQ CM TO 30.0 SQ CM",360,RC,14001,CPT,,,,,facility,outpatient,,,,,Aetna,Medicare Advantage,,1882.09,,,,,,,1722.29,8413.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10.1 SQ CM TO 30.0 SQ CM",361,RC,14001,CPT,,,,,facility,outpatient,,,,,Humana,Medicare PPO,,1864.34,,,,,,,1722.29,8413.00,fee schedule,
"ADJUVANT AS01B (PF), COMPONENT VIAL 1 OF 2 INTRAMUSCULAR SUSPENSION",RX-183325,CDM,636,RC,90750,HCPCS,58160082901,NDC,facility,outpatient,0.5,ML,454.60000,272.76000,Evernorth (Cigna Behavioral Health),Commercial,,363.68,,,,,,,105.47,543.08,percent of total billed charges,"If a covered service does not have a specified rate, reimbursement will be 80% of charges, subject to a standard reasonable and customary screening."
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,facility,inpatient,,,,,Cigna,Commercial,,16474.84,,,,,,,4481.00,20687.58,case rate,"Claims with charges exceeding $251,725 are reimbursed at 41.3% of charges."
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,facility,inpatient,,,,,WellCare of North Carolina,Medicare Advantage,,12529.87,,,,,,,4481.00,17674.94,fee schedule,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION WRAPPER",RX-40860021,CDM,636,RC,P9047,HCPCS,44206025110,NDC,facility,outpatient,100,ML,729.50000,437.70000,BCBS NC,Blue Select/HMO/PPO,,345.86,,,,,,,103.28,631.09,percent of total billed charges,
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",RX-8981,CDM,636,RC,P9047,HCPCS,44206025105,NDC,facility,outpatient,50,ML,403.25000,241.95000,WellCare of North Carolina,Managed Medicaid,,111.78,,,,,,,93.55,348.85,percent of total billed charges,
