"(FVIII DOSING) ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT INTRAVENOUS SOLUTION",RX-40849817,CDM,636,RC,J7187,HCPCS,63833061702,NDC,facility,inpatient,1,UN,82.70000,49.62000,Aetna,Commercial,,47.97,,,,,,,20.92,4481.00,percent of total billed charges,"Paid In Addition to Other Negotiated Rates for all of the listed billing codes, when the sum of the listed billing codes on the claim is greater than $4,270.00."
"1-STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS (EG, FLIP-FLAP, PREPUCIAL FLAP)",360,RC,54324,CPT,,,,,facility,outpatient,,,,,Optum,VACCN,,3347.78,,,,,,,3247.35,15394.00,fee schedule,
"3D PREDICTIVE MODEL GENERATION FOR PRE-PLANNING OF A CARDIAC PROCEDURE, USING DATA FROM CARDIAC COMPUTED TOMOGRAPHIC ANGIOGRAPHY AND/OR MAGNETIC RESONANCE IMAGING WITH REPORT",361,RC,C9793,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,1036.92,,,,,,,957.91,1046.79,fee schedule,
"3D PREDICTIVE MODEL GENERATION FOR PRE-PLANNING OF A CARDIAC PROCEDURE, USING DATA FROM CARDIAC COMPUTED TOMOGRAPHIC ANGIOGRAPHY AND/OR MAGNETIC RESONANCE IMAGING WITH REPORT",361,RC,C9793,CPT,,,,,facility,outpatient,,,,,Optum,VACCN Behavioral Health,,987.54,,,,,,,957.91,1046.79,fee schedule,
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,facility,inpatient,,,,,United Healthcare,Individual Exchange,,11390.67,,,,,,,4481.00,18420.60,case rate,"When length of stay exceeds the MS-DRG specific CMS Arithmetic Mean Length of Stay rounded to the nearest whole day plus 6 days during a single Admission, the contract rate will be $4,106.00 Per Diem for each day in excess of the Inpatient Outlier Threshold in addition to the applicable contract rate."
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE",RX-8962,CDM,250,RC,J3490,HCPCS,42571024301,NDC,facility,outpatient,1,UN,18.25000,10.95000,United Healthcare,CHIP/Medicaid,,5.06,,,,,,,4.23,14.60,percent of total billed charges,
"ACROMIOPLASTY OR ACROMIONECTOMY, PARTIAL, WITH OR WITHOUT CORACOACROMIAL LIGAMENT RELEASE",360,RC,23130,CPT,,,,,facility,outpatient,,,,,BCBS NC,Medicare Advantage,,3054.93,,,,,,,3054.93,15394.00,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,,United Healthcare,Individual Exchange,,10440.98,,,,,,,4481.00,16884.79,case rate,"When length of stay exceeds the MS-DRG specific CMS Arithmetic Mean Length of Stay rounded to the nearest whole day plus 6 days during a single Admission, the contract rate will be $4,106.00 Per Diem for each day in excess of the Inpatient Outlier Threshold in addition to the applicable contract rate."
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,facility,inpatient,,,,,Aetna,Medicare Advantage,,11821.98,,,,,,,4481.00,13284.07,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,facility,inpatient,,,,,BCBS NC,Blue Select/HMO/PPO,,13169.82,,,,,,,4481.00,13284.07,case rate,"Outlier payment may apply if charges exceed a $203,434. threshold."
