"(FVIII DOSING) ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT INTRAVENOUS SOLUTION",RX-40849817,CDM,636,RC,J7187,HCPCS,63833061702,NDC,facility,outpatient,1,UN,82.70000,49.62000,Humana,Medicare HMO,,1.56,,,,,,,1.45,199.92,fee schedule,
"(FVIII DOSING) ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT INTRAVENOUS SOLUTION",RX-40849817,CDM,636,RC,J7187,HCPCS,63833061702,NDC,facility,outpatient,1,UN,82.70000,49.62000,Optum,Commercial,,44.66,,,,,,,1.45,199.92,percent of total billed charges,
"(TAKE HOME) NIRMATRELVIR 300 MG (150 MG X2)-RITONAVIR 100 MG TABLET,DOSE PACK",RX-408911998,CDM,250,RC,J3490,HCPCS,09999011272,NDC,facility,inpatient,1,UN,16.10000,9.66000,Evernorth (Cigna Behavioral Health),Commercial,,12.88,,,,,,,12.88,4481.00,percent of total billed charges,"If a covered service does not have a specified rate, reimbursement will be 80% of charges, subject to a standard reasonable and customary screening."
"(TAKE HOME) NIRMATRELVIR 300 MG (150 MG X2)-RITONAVIR 100 MG TABLET,DOSE PACK",RX-408911998,CDM,250,RC,J3490,HCPCS,09999011272,NDC,facility,outpatient,1,UN,16.10000,9.66000,Amerihealth Caritas,Managed Medicaid,,4.46,,,,,,,3.74,12.88,percent of total billed charges,
"(VWF DOSING) ANTIHEMOPHILIC FACTOR-VWF 1,000 UNIT-2,400 UNIT INTRAVENOUS SOLUTION",RX-70406,CDM,636,RC,J7187,HCPCS,63833061702,NDC,facility,outpatient,1,UN,82.70000,49.62000,Optum,CHIP/Managed Medicaid,,22.92,,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.",,,,0,1.45,199.92,percent of total billed charges,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"1-STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH SIMPLE MEATAL ADVANCEMENT (EG, MAGPI, V-FLAP)",360,RC,54322,CPT,,,,,facility,outpatient,,,,,United Healthcare,Medicare Advantage,,3515.17,,,,,,,3247.35,13194.00,fee schedule,
"1-STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS (EG, FLIP-FLAP, PREPUCIAL FLAP)",360,RC,54324,CPT,,,,,facility,outpatient,,,,,United Healthcare,Commercial,,15394.00,,,,,,,3247.35,15394.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,facility,inpatient,,,,,Alignment,Medicare Advantage,,13853.29,,,,,,,4481.00,18420.60,fee schedule,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",RX-108021,CDM,636,RC,J0131,HCPCS,00781315606,NDC,facility,outpatient,100,ML,104.15000,62.49000,Trillium,Medicaid,,29.16,,,,,,,0.13200,90.10,percent of total billed charges,
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE",RX-8962,CDM,250,RC,J3490,HCPCS,42571024301,NDC,facility,outpatient,1,UN,18.25000,10.95000,Carolina Complete Health,Managed Medicaid,,5.06,,,,,,,4.23,14.60,percent of total billed charges,
"ACROMIOPLASTY OR ACROMIONECTOMY, PARTIAL, WITH OR WITHOUT CORACOACROMIAL LIGAMENT RELEASE",360,RC,23130,CPT,,,,,facility,outpatient,,,,,Humana,Medicare PPO,,3306.88,,,,,,,3054.93,15394.00,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,facility,inpatient,,,,,Optum,Commercial,,4481.00,,,,,,,4481.00,16884.79,per diem,Hospital will be paid lesser of 85% Billed Charges or the per diem rate.
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,facility,inpatient,,,,,United Healthcare,Commercial,,13284.07,,,,,,,4481.00,13284.07,case rate,"When length of stay exceeds the MS-DRG specific CMS Arithmetic Mean Length of Stay rounded to the nearest whole day plus 6 days during a single Admission, the contract rate will be $6,200.00 Per Diem for each day in excess of the Inpatient Outlier Threshold in addition to the applicable contract rate."
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,,,facility,inpatient,,,,,Optum,Commercial,,4481.00,,,,,,,4481.00,11002.39,per diem,Hospital will be paid lesser of 85% Billed Charges or the per diem rate.
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,,,facility,inpatient,,,,,United Healthcare,Individual Exchange,,6803.50,,,,,,,4481.00,11002.39,case rate,"When length of stay exceeds the MS-DRG specific CMS Arithmetic Mean Length of Stay rounded to the nearest whole day plus 6 days during a single Admission, the contract rate will be $4,106.00 Per Diem for each day in excess of the Inpatient Outlier Threshold in addition to the applicable contract rate."
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, ANY AREA; DEFECT 30.1 SQ CM TO 60.0 SQ CM",360,RC,14301,CPT,,,,,facility,outpatient,,,,,Humana,Medicare PPO,,3731.24,,,,,,,3446.95,17457.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, EYELIDS, NOSE, EARS AND/OR LIPS; DEFECT 10.1 SQ CM TO 30.0 SQ CM",360,RC,14061,CPT,,,,,facility,outpatient,,,,,United Healthcare,Medicare Advantage,,1864.34,,,,,,,1722.29,8413.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",361,RC,14040,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,1864.34,,,,,,,1722.29,7278.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS",361,RC,14020,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,1864.34,,,,,,,1722.29,8413.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10 SQ CM OR LESS",360,RC,14000,CPT,,,,,facility,outpatient,,,,,United Healthcare,Commercial,,5239.00,,,,,,,1722.29,7278.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10 SQ CM OR LESS",361,RC,14000,CPT,,,,,facility,outpatient,,,,,BCBS NC,Medicare Advantage,,1722.29,,,,,,,1722.29,7278.00,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10.1 SQ CM TO 30.0 SQ CM",361,RC,14001,CPT,,,,,facility,outpatient,,,,,United Healthcare,Commercial,,5239.00,,,,,,,1722.29,8413.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
