"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",637,RC,68462043518,NDC,,,facility,outpatient,1,EA,11.01000,11.01000,Aetna,Medicare Advantage,,5.06,,,,,,,2.20,10.84,percent of total billed charges,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",636,RC,36000030660,NDC,,,facility,outpatient,100,ML,26.66000,26.66000,United Healthcare,Commercial,,26.24,,,,,,,5.33,26.24,percent of total billed charges,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",280,MS-DRG,,,,,facility,inpatient,,,,,Wellpath,FCI Ray Brook,,24571.88,,,,,,,16381.25,58169.57,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,facility,inpatient,,,,,Capital District Physicians' Health Plan,Commercial,,19414.20,,,,,,,7395.22,26260.30,case rate,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,facility,inpatient,,,,,Veterans Affairs Community Care Network,Veterans Administration,,7395.22,,,,,,,7395.22,26260.30,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,facility,inpatient,,,,,BlueCross BlueShield Vermont,Medicare Advantage,,19905.29,,,,,,,19514.99,69297.42,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,facility,inpatient,,,,,Cigna,Commercial,,54037.48,,,,,,,19514.99,69297.42,case rate,"If DRG allowable is greater than $149,916, reimbursement will be 97.5% of charges for the entire admission."
"ADENOIDECTOMY, PRIMARY; AGE 12 OR OVER",360,RC,42831,CPT,,,facility,outpatient,,,,,BlueCross BlueShield Vermont,Indemnity,,5176.14,,,,,,,2205.60,5176.14,fee schedule,Reimbursement will be capped at line item charge.
"ADENOIDECTOMY, PRIMARY; YOUNGER THAN AGE 12",360,RC,42830,CPT,,,facility,outpatient,,,,,St. Regis,HMO,,3268.37,,,,,,,1542.85,4902.56,fee schedule,
"ADENOIDECTOMY, SECONDARY; AGE 12 OR OVER",360,RC,42836,CPT,,,facility,outpatient,,,,,Capital District Physicians' Health Plan,Medicare Advantage,,3268.37,,,,,,,3268.37,4902.56,fee schedule,
