"1-STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS (EG, FLIP-FLAP, PREPUCIAL FLAP)",360,RC,54324,CPT,,,facility,outpatient,,,,,BlueCross BlueShield Vermont,Medicare Advantage,,3545.39,,,,,,,3475.87,5213.81,fee schedule,
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,facility,inpatient,,,,,United Healthcare,Commercial,,38132.36,,,,,,,10738.55,38132.36,case rate,"When the length of stay exceeds 20 days during a single Admission (""Inpatient Outlier Threshold""), the contract rate will be $7,093 Per Diem for each day in excess of the Inpatient Outlier Threshold. Claims with discharge codes 02, 03, 05, 06, 62-66, 82, 83, 85, 86 & 90-94 are reimbursed as follows: (FY24 DRG Weight * DRG Base Rate) (LOS + 1)/GMLOS. Exception: ""Special Pay"" MS-DRGs for FY24."
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,facility,inpatient,,,,,Wellpath,FCI Ray Brook,,16107.83,,,,,,,10738.55,38132.36,fee schedule,
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",637,RC,60687012125,NDC,,,facility,outpatient,1,EA,11.01000,11.01000,Cigna,Commercial,,10.73,,,,,,,2.20,10.84,percent of total billed charges,
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",637,RC,60687012125,NDC,,,facility,outpatient,1,EA,11.01000,11.01000,MagnaCare,Commercial,,8.81,,,,,,,2.20,10.84,percent of total billed charges,
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",637,RC,68462043518,NDC,,,facility,outpatient,1,EA,11.01000,11.01000,Harvard Pilgrim,Commercial,,8.81,,,,,,,2.20,10.84,percent of total billed charges,
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV",636,RC,36000030660,NDC,,,facility,outpatient,100,ML,26.66000,26.66000,EBPA,ERISA Welfare Plans,,22.93,,,,,,,5.33,26.24,percent of total billed charges,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",280,MS-DRG,,,,,facility,inpatient,,,,,Aetna,Medicare Advantage,,16381.25,,,,,,,16381.25,58169.57,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,facility,inpatient,,,,,Martins Point, TRICARE Prime/Department of Defense,,7236.53,,,,,,,7236.53,25696.82,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",284,MS-DRG,,,,,facility,inpatient,,,,,BlueCross BlueShield Vermont,The Vermont Health Plan/Vermont Health Partnership,,19094.83,,,,,,,7395.22,26260.30,case rate,"When total charges exceed the expected DRG reimbursement amount by $117,925 or when total charges are less than the expected DRG reimbursement amount by $85,000, reimbursed at 80.1% of allowed charge for the entire admission; Outlier Methodology does not apply to Patient Transfer to another hospital, Newborns & Rehabs. Transfers to another hospital are paid at 80.1% of the allowable billed charge."
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,facility,inpatient,,,,,St. Regis,HMO,,19514.99,,,,,,,19514.99,69297.42,fee schedule,
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,facility,inpatient,,,,,MVP,Commercial,,13155.85,,,,,,,5602.81,19895.45,case rate,"Claims with charges exceeding $93,007 are reimbursed at an outlier rate of 88.9% except for drugs which are reimbursed at 50% of charges."
"ADENOIDECTOMY, PRIMARY; YOUNGER THAN AGE 12",360,RC,42830,CPT,,,facility,outpatient,,,,,Aetna,Medicare Advantage,,3268.37,,,,,,,1542.85,4902.56,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, ANY AREA; DEFECT 30.1 SQ CM TO 60.0 SQ CM",360,RC,14301,CPT,,,facility,outpatient,,,,,BlueCross BlueShield Vermont,Medicare Advantage,,3763.32,,,,,,,3689.53,5534.30,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, ANY AREA; DEFECT 30.1 SQ CM TO 60.0 SQ CM",361,RC,14301,CPT,,,facility,outpatient,,,,,Humana Military,TRICARE,,3689.53,,,,,,,3689.53,5534.30,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10.1 SQ CM TO 30.0 SQ CM",360,RC,14041,CPT,,,facility,outpatient,,,,,Capital District Physicians' Health Plan,Medicare Advantage,,1843.50,,,,,,,1843.50,2765.25,fee schedule,
"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS",360,RC,14020,CPT,,,facility,outpatient,,,,,Fidelis Care,Medicare Advantage,,2027.85,,,,,,,1843.50,2765.25,fee schedule,
