"ACETABULAR SHELL 28X41MM RINGLOC BIPOLAR COBALT ENDO","SUP-ITM-10122819","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1750.00","1312.50","INTERNATIONAL COMMERCIAL [140001]","HB AMC AETNA PPO","1407.00","80.4","","2174.69","2167.62","2435.16","12","875","1430.1","percent of total billed charges",""
"ACETABULAR SHELL 44MM SIZE EE CONTINUUM TIVANIUM TRABECULAR METAL HEMISPHERE CLUSTER HOLE","SUP-ITM-10201208","CDM","C1776","HCPCS","0278","RC","","","","both","","","2835.00","2126.25","WELLPOINT [1015]","HB AMC WELLPOINT","2091.66","73.78","","2602.06","1700.45","15123.10","117","878.85","2253.83","percent of total billed charges",""
"ACETABULAR SHELL 56MM SIZE E TRIDENT TRITANIUM PRIMARY HEMISPHERICAL CLUSTER HOLE","SUP-ITM-10042537","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3500.00","2625.00","AETNA [1001]","HB AMC AETNA HMO","2443.00","69.8","","2111.40","1091.76","3234.47","108","1750","2860.2","percent of total billed charges",""
"ACETABULAR SHELL 80MM POROUS TRABECULAR TANTALUM TIVANIUM REVISION","SUP-ITM-10118051","CDM","C1776","HCPCS","0278","RC","","","","both","","","4244.63","3183.47","WELLPOINT [1015]","HB AMC WELLPOINT","3131.69","73.78","","2602.06","1700.45","15123.10","117","1315.84","3374.48","percent of total billed charges",""
"ACETABULAR SHELL F 56MM TRIDENT TITANIUM HYDROXYAPATITE HEMISPHERICAL CLUSTER HOLE SIZE","SUP-ITM-10019379","CDM","C1776","HCPCS","0278","RC","","","","both","","","2450.00","1837.50","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL PPO","938.35","38.3","","2679.15","987.37","3738.94","427","759.5","1947.75","percent of total billed charges",""
"ACETABULAR SHELL SZ 60 MULTIHOLEMM LINER G 08","SUP-ITM-10192419","CDM","C1776","HCPCS","0278","RC","","","","both","","","3638.25","2728.69","WELLPOINT [1015]","HB AMC WELLPOINT","2684.30","73.78","","2602.06","1700.45","15123.10","117","1127.86","2892.41","percent of total billed charges",""
"ACETABULAR SPACER 0MM PLUS 12/14 ARTICUL/EZE MODULAR CATHCART UNIPOLAR TAPERED","SUP-ITM-10013166","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","300.00","225.00","UNITED HEALTHCARE [1016]","HB AMC UNITED PPO / POS","245.16","81.72","","2190.06","1401.55","8113.91","43","150","245.16","percent of total billed charges",""
"ADAPTER HUMERAL 42MM SHOULDER AEQUALIS REVERSED II 02","SUP-ITM-10136083","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3325.00","2493.75","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","2717.19","81.72","","1017.05","1017.05","1017.05","1 through 10","1662.5","2717.19","percent of total billed charges",""
"ALLOGRAFT BONE 10CC OSTEOAMP FIBER SELECT","SUP-ITM-10269005","CDM","C1889","HCPCS","0278","RC","","","","outpatient","","","3769.20","2826.90","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","3080.19","81.72","","4246.27","3573.32","4246.27","1 through 10","1884.6","3080.19","percent of total billed charges",""
"ALLOGRAFT BONE 1CC OSTEOAMP SELECT FIBER","SUP-ITM-10268945","CDM","C1889","HCPCS","0278","RC","","","","both","","","1088.16","816.12","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","397.18","36.5","","1168.42","370.54","2967.12","14","337.33","865.09","percent of total billed charges",""
