"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-98301770","CDM","99492","CPT","0983","RC","","","","outpatient","","","409.00","306.75","AETNA [1001]","HB AMC AETNA HMO","285.48","69.8","","271.48","191.68","558.53","14","204.5","575.66","percent of total billed charges",""
"3d Echo Img&Pst-Pxessing Tee/Tte Cgen Car Anomal","PX-48000480","CDM","93319","CPT","0483","RC","","","","both","","","269.00","201.75","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","143.38","53.3","","137.81","137.81","137.81","1 through 10","83.39","213.86","percent of total billed charges",""
"ACETABULAR AUGMENT 58MM TRABECULAR METAL STRAIGHT BUTTRESS 22","SUP-ITM-10072444","CDM","C1889","HCPCS","0278","RC","","","","outpatient","","","3281.25","2460.94","AETNA [1001]","HB AMC AETNA PPO","2638.13","80.4","","4532.01","328.86","4532.01","1 through 10","1640.63","2681.44","percent of total billed charges",""
"ACETABULAR AUGMENT 66X20MM TRABECULAR METAL 22","SUP-ITM-10019186","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","CIGNA [1006]","HB AMC CIGNA HMO / PPO","2608.59","79.5","","2608.72","1683.00","7525.69","67","1017.19","2608.59","percent of total billed charges",""
"ACETABULAR AUGMENT 66X20MM TRABECULAR METAL 22","SUP-ITM-10019186","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","1197.66","36.5","","3031.31","804.39","5017.20","148","1017.19","2608.59","percent of total billed charges",""
"ACETABULAR BEARING 28X52MM DUAL MOBILITY ANTIOXIDANT INFUSED SZ G 12","SUP-ITM-10191339","CDM","C1776","HCPCS","0278","RC","","","","both","","","2682.75","2012.06","CIGNA ALTERNATE [1018]","HB AMC CIGNA NEW BUSINESS DISCOUNT","1429.91","53.3","","3617.87","1219.68","8316.00","59","831.65","2132.79","percent of total billed charges",""
"ACETABULAR CUP 60MM SIZE 25 REGENEREX RINGLOC PLUS TITANIUM POROUS MULTIHOLE","SUP-ITM-10025572","CDM","C1776","HCPCS","0278","RC","","","","both","","","4042.50","3031.87","CIGNA [1006]","HB AMC CIGNA HMO / PPO","3213.79","79.5","","2608.72","1683.00","7525.69","67","1253.18","3213.79","percent of total billed charges",""
"ACETABULAR INSERT 28X61MM 0DEG CONSTRAINED PLASTIC","SUP-ITM-10002178","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","4042.50","3031.87","AETNA [1001]","HB AMC AETNA PPO","3250.17","80.4","","2090.69","1781.53","2371.46","11","2021.25","3303.53","percent of total billed charges",""
"ACETABULAR INSERT 28X61MM 0DEG CONSTRAINED PLASTIC","SUP-ITM-10002178","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","4042.50","3031.87","INTERNATIONAL COMMERCIAL [140001]","HB AMC AETNA PPO","3250.17","80.4","","2174.69","2167.62","2435.16","12","2021.25","3303.53","percent of total billed charges",""
"ACETABULAR INSERT 32MM 0DEG SIZE B TRIDENT POLYETHYLENE","SUP-ITM-10089665","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1650.00","1237.50","AETNA [1001]","HB AMC AETNA PPO","1326.60","80.4","","2090.69","1781.53","2371.46","11","825","1348.38","percent of total billed charges",""
"ACETABULAR INSERT 32MM 10DEG TRIDENT POLYETHYLENE SIZE D","SUP-ITM-10016632","CDM","C1776","HCPCS","0278","RC","","","","both","","","1925.00","1443.75","UNITED HEALTHCARE [1016]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","825.83","42.9","","2028.48","2028.48","2028.48","1 through 10","596.75","1530.38","percent of total billed charges",""
"ACETABULAR INSERT 32X54 56MM 10DEG LINER CROSSFIRE SERIES II HIGHLY CROSSLINKED POLYETHYLENE","SUP-ITM-10006911","CDM","C1776","HCPCS","0278","RC","","","","both","","","1221.50","916.12","WELLPOINT [1015]","HB AMC WELLPOINT","901.22","73.78","","2602.06","1700.45","15123.10","117","378.67","971.09","percent of total billed charges",""
"ACETABULAR LINER 26X44MM 10DEG LONGEVITY PRIMARY REVISION HIGHLY CROSSLINKED POLYETHYLENE ELEVATED RIM","SUP-ITM-10200683","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1282.58","961.93","INTERNATIONAL COMMERCIAL [140001]","HB AMC AETNA PPO","1031.19","80.4","","2174.69","2167.62","2435.16","12","641.29","1048.12","percent of total billed charges",""
"ACETABULAR LINER 28X44MM SIZE EE VAVACIT E HIGHLY CROSSLINKED POLYETHYLENE VITAMIN NEUTRAL","SUP-ITM-10114227","CDM","C1776","HCPCS","0278","RC","","","","both","","","2299.50","1724.62","CIGNA [1006]","HB AMC CIGNA HMO / PPO","1828.10","79.5","","2608.72","1683.00","7525.69","67","712.85","1828.1","percent of total billed charges",""
"ACETABULAR LINER 40MM SIZE 25 RINGLOC MAXROM EPOLY","SUP-ITM-10139121","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2555.00","1916.25","AETNA [1001]","HB AMC AETNA HMO","1783.39","69.8","","2111.40","1091.76","3234.47","108","1277.5","2087.95","percent of total billed charges",""
