"ACETABULAR AUGMENT 58MM TRABECULAR METAL STRAIGHT BUTTRESS 22","SUP-ITM-10072444","CDM","C1889","HCPCS","0278","RC","","","","outpatient","","","3281.25","2460.94","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","2681.44","81.72","","4246.27","3573.32","4246.27","1 through 10","1640.63","2681.44","percent of total billed charges",""
"ACETABULAR BEARING 28X52MM DUAL MOBILITY ANTIOXIDANT INFUSED SZ G 12","SUP-ITM-10191339","CDM","C1776","HCPCS","0278","RC","","","","both","","","2682.75","2012.06","UNITED HEALTHCARE [1016]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","1150.90","42.9","","2028.48","2028.48","2028.48","1 through 10","831.65","2132.79","percent of total billed charges",""
"ACETABULAR CUP 52X58MM BIRMINGHAM RESURFACING COBALT HA COATING POROUS IMPACTOR","SUP-ITM-10042847","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6842.50","5131.87","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","5591.69","81.72","","1017.05","1017.05","1017.05","1 through 10","3421.25","5591.69","percent of total billed charges",""
"ACETABULAR IMPLANT 5DEG SHIM REVISION TRABECULAR METAL","SUP-ITM-10199809","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","1197.66","36.5","","3031.31","804.39","5017.20","148","1017.19","2608.59","percent of total billed charges",""
"ACETABULAR INSERT 32MM 0DEG SIZE B TRIDENT POLYETHYLENE","SUP-ITM-10089665","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1650.00","1237.50","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","1348.38","81.72","","1017.05","1017.05","1017.05","1 through 10","825","1348.38","percent of total billed charges",""
"ACETABULAR INSERT 32MM 10DEG TRIDENT POLYETHYLENE SIZE D","SUP-ITM-10016632","CDM","C1776","HCPCS","0278","RC","","","","both","","","1925.00","1443.75","INTERNATIONAL COMMERCIAL [140001]","HB AMC QHM INTERNATIONAL","1386.00","72","","9180.00","9180.00","9180.00","1 through 10","596.75","1530.38","percent of total billed charges",""
"ACETABULAR LINER 40MM SIZE 25 RINGLOC MAXROM EPOLY","SUP-ITM-10139121","CDM","C1776","HCPCS","0278","RC","","","","both","","","2555.00","1916.25","INTERNATIONAL COMMERCIAL [140001]","HB AMC QHM INTERNATIONAL","1839.60","72","","9180.00","9180.00","9180.00","1 through 10","792.05","2031.23","percent of total billed charges",""
"ACETABULAR SHELL 25 60MM SIZE RINGLOC POROUS PLASMA SPRAY LIMITED HOLE","SUP-ITM-10101190","CDM","C1776","HCPCS","0278","RC","","","","both","","","2278.50","1708.87","CIGNA [1006]","HB AMC CIGNA HMO / PPO","1811.41","79.5","","2608.72","1683.00","7525.69","67","706.34","1811.41","percent of total billed charges",""
"ACETABULAR SHELL 40MM PINNACLE GRIPTION MULTIHOLE","SUP-ITM-10116890","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3150.00","2362.50","AETNA [1001]","HB AMC AETNA PPO","2532.60","80.4","","2090.69","1781.53","2371.46","11","1575","2574.18","percent of total billed charges",""
"ACETABULAR SHELL 42MM IMPLANT TRILOGY MULTI HOLED 08","SUP-ITM-10005457","CDM","C1776","HCPCS","0278","RC","","","","both","","","3307.50","2480.62","INTERNATIONAL COMMERCIAL [140001]","HB AMC QHM INTERNATIONAL","2381.40","72","","9180.00","9180.00","9180.00","1 through 10","1025.33","2629.46","percent of total billed charges",""
"ACETABULAR SHELL 42MM IMPLANT TRILOGY MULTI HOLED 08","SUP-ITM-10005457","CDM","C1776","HCPCS","0278","RC","","","","both","","","3307.50","2480.62","WELLPOINT [1015]","HB AMC WELLPOINT","2440.27","73.78","","2602.06","1700.45","15123.10","117","1025.33","2629.46","percent of total billed charges",""
