Facility,"Excellagen, 0.1 cc",Q4149,LOCAL,,,,,,,,Outpatient,,,,,469.36,469.36,,,,,,,,,,,,,,,,,,,,469.36,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.36,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,"Inj, amivantamab-vmjw",9432,APC,,,,,,,,Outpatient,,,,,11.78842,38.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.78842,,,,,,,case rate,,,,,,,,,,,22.54,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99,,,,,,,case rate,,22.54,,,,,,,case rate,,22.09,,,,,,,case rate,,22.54,,,,,,,case rate,,22.88,,,,,,,case rate,,22.54,,,,,,,case rate,,21.41,,,,,,,case rate,,22.77,,,,,,,case rate,,22.54,,,,,,,case rate,,22.99,,,,,,,case rate,,22.54,,,,,,,case rate,,22.54,,,,,,,case rate,,22.54,,,,,,,case rate,,22.99,,,,,,,case rate,,23.67,,,,,,,case rate,,22.54,,,,,,,case rate,,22.54,,,,,,,case rate,,22.54,,,,,,,case rate,,22.54,,,,,,,case rate,,22.88,,,,,,,case rate,,38.32,,,,,,,case rate,,22.54,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,,11.78842,,,,,,,case rate,
Facility,"Inj, eculizumab-aagh, 2 mg",0852,APC,,,,,,,,Outpatient,,,,,16.397619,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.397619,,,,,,,case rate,,,,,,,,,,,31.353,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.98,,,,,,,case rate,,31.35,,,,,,,case rate,,30.73,,,,,,,case rate,,31.35,,,,,,,case rate,,31.82,,,,,,,case rate,,31.35,,,,,,,case rate,,29.79,,,,,,,case rate,,31.67,,,,,,,case rate,,31.35,,,,,,,case rate,,31.98,,,,,,,case rate,,31.35,,,,,,,case rate,,31.35,,,,,,,case rate,,31.35,,,,,,,case rate,,31.98,,,,,,,case rate,,32.92,,,,,,,case rate,,31.35,,,,,,,case rate,,31.35,,,,,,,case rate,,31.35,,,,,,,case rate,,31.35,,,,,,,case rate,,31.82,,,,,,,case rate,,53.3,,,,,,,case rate,,31.35,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,,16.397619,,,,,,,case rate,
Facility,"Inj, nogapendekin pmln 1 mcg",0767,APC,,,,,,,,Outpatient,,,,,49.508226,160.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.508226,,,,,,,case rate,,,,,,,,,,,94.662,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.56,,,,,,,case rate,,94.66,,,,,,,case rate,,92.77,,,,,,,case rate,,94.66,,,,,,,case rate,,96.08,,,,,,,case rate,,94.66,,,,,,,case rate,,89.93,,,,,,,case rate,,95.61,,,,,,,case rate,,94.66,,,,,,,case rate,,96.56,,,,,,,case rate,,94.66,,,,,,,case rate,,94.66,,,,,,,case rate,,94.66,,,,,,,case rate,,96.56,,,,,,,case rate,,99.4,,,,,,,case rate,,94.66,,,,,,,case rate,,94.66,,,,,,,case rate,,94.66,,,,,,,case rate,,94.66,,,,,,,case rate,,96.08,,,,,,,case rate,,160.93,,,,,,,case rate,,94.66,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,,49.508226,,,,,,,case rate,
Facility,"Inj. denosumab-bbdz, 1 mg",0872,APC,,,,,,,,Outpatient,,,,,14.402374,46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.402374,,,,,,,case rate,,,,,,,,,,,27.538,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09,,,,,,,case rate,,27.54,,,,,,,case rate,,26.99,,,,,,,case rate,,27.54,,,,,,,case rate,,27.95,,,,,,,case rate,,27.54,,,,,,,case rate,,26.16,,,,,,,case rate,,27.81,,,,,,,case rate,,27.54,,,,,,,case rate,,28.09,,,,,,,case rate,,27.54,,,,,,,case rate,,27.54,,,,,,,case rate,,27.54,,,,,,,case rate,,28.09,,,,,,,case rate,,28.91,,,,,,,case rate,,27.54,,,,,,,case rate,,27.54,,,,,,,case rate,,27.54,,,,,,,case rate,,27.54,,,,,,,case rate,,27.95,,,,,,,case rate,,46.81,,,,,,,case rate,,27.54,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,,14.402374,,,,,,,case rate,
Facility,"Inj., emapalumab-lzsg, 1 mg",9310,APC,,,,,,,,Outpatient,,,,,201.275504,654.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.275504,,,,,,,case rate,,,,,,,,,,,384.848,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.54,,,,,,,case rate,,384.85,,,,,,,case rate,,377.15,,,,,,,case rate,,384.85,,,,,,,case rate,,390.62,,,,,,,case rate,,384.85,,,,,,,case rate,,365.61,,,,,,,case rate,,388.7,,,,,,,case rate,,384.85,,,,,,,case rate,,392.54,,,,,,,case rate,,384.85,,,,,,,case rate,,384.85,,,,,,,case rate,,384.85,,,,,,,case rate,,392.54,,,,,,,case rate,,404.09,,,,,,,case rate,,384.85,,,,,,,case rate,,384.85,,,,,,,case rate,,384.85,,,,,,,case rate,,384.85,,,,,,,case rate,,390.62,,,,,,,case rate,,654.24,,,,,,,case rate,,384.85,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,,201.275504,,,,,,,case rate,
Facility,"Level 1 Extraocular, Repair, and Plastic Eye Procedures",5501,APC,,,,,,,,Outpatient,,,,,156.34039,508.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.34039,,,,,,,case rate,,,,,,,,,,,298.93,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.91,,,,,,,case rate,,298.93,,,,,,,case rate,,292.95,,,,,,,case rate,,298.93,,,,,,,case rate,,303.41,,,,,,,case rate,,298.93,,,,,,,case rate,,283.98,,,,,,,case rate,,301.92,,,,,,,case rate,,298.93,,,,,,,case rate,,304.91,,,,,,,case rate,,298.93,,,,,,,case rate,,298.93,,,,,,,case rate,,298.93,,,,,,,case rate,,304.91,,,,,,,case rate,,313.88,,,,,,,case rate,,298.93,,,,,,,case rate,,298.93,,,,,,,case rate,,298.93,,,,,,,case rate,,298.93,,,,,,,case rate,,303.41,,,,,,,case rate,,508.18,,,,,,,case rate,,298.93,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,,156.34039,,,,,,,case rate,
Facility,"NEONATE BIRTH WEIGHT < 500 GRAMS, OR BIRTH WEIGHT 500-999 GRAMS AND GESTATIONAL AGE <24 WEEKS, OR BIRTH WEIGHT 500-749 GRAMS WITH MAJOR ANOMALY OR WITHOUT LIFE SUSTAINING INTERVENTION",5891,APR-DRG,,,,,,,,inpatient,,,,,154755.625,154755.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months,154755.625,,,,,,0,case rate,Zero cases in previous 12 months
Facility,"New Technology - Level 39 ($15,001-$20,000)",1576,APC,,,,,,,,Outpatient,,,,,9152.7615,29750.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9152.7615,,,,,,,case rate,,,,,,,,,,,17500.5,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17850.51,,,,,,,case rate,,17500.5,,,,,,,case rate,,17150.49,,,,,,,case rate,,17500.5,,,,,,,case rate,,17763.01,,,,,,,case rate,,17500.5,,,,,,,case rate,,16625.48,,,,,,,case rate,,17675.51,,,,,,,case rate,,17500.5,,,,,,,case rate,,17850.51,,,,,,,case rate,,17500.5,,,,,,,case rate,,17500.5,,,,,,,case rate,,17500.5,,,,,,,case rate,,17850.51,,,,,,,case rate,,18375.53,,,,,,,case rate,,17500.5,,,,,,,case rate,,17500.5,,,,,,,case rate,,17500.5,,,,,,,case rate,,17500.5,,,,,,,case rate,,17763.01,,,,,,,case rate,,29750.85,,,,,,,case rate,,17500.5,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,,9152.7615,,,,,,,case rate,
Facility,"New Technology - Level 48 ($90,001-$100,000)",1599,APC,,,,,,,,Outpatient,,,,,49685.2615,161500.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49685.2615,,,,,,,case rate,,,,,,,,,,,95000.5,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96900.51,,,,,,,case rate,,95000.5,,,,,,,case rate,,93100.49,,,,,,,case rate,,95000.5,,,,,,,case rate,,96425.51,,,,,,,case rate,,95000.5,,,,,,,case rate,,90250.48,,,,,,,case rate,,95950.51,,,,,,,case rate,,95000.5,,,,,,,case rate,,96900.51,,,,,,,case rate,,95000.5,,,,,,,case rate,,95000.5,,,,,,,case rate,,95000.5,,,,,,,case rate,,96900.51,,,,,,,case rate,,99750.53,,,,,,,case rate,,95000.5,,,,,,,case rate,,95000.5,,,,,,,case rate,,95000.5,,,,,,,case rate,,95000.5,,,,,,,case rate,,96425.51,,,,,,,case rate,,161500.85,,,,,,,case rate,,95000.5,,,,,,,case rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,,49685.2615,,,,,,,case rate,
