 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Outpatient,,,243.00,121.50,Blue Cross Blue Shield,Capital - Special Network Rates,59.44,,,,,,,percent of total billed charges,1.00,206.55,
0.5MM FLOW CTRLR REF 3065,109876,LOCAL,278,RC,,,,Inpatient,,,243.75,121.88,Shepard International Health Care,Shepard International Health Care - Allegheny International,121.88,,,,,,,percent of total billed charges,87.75,207.19,
0.5MM FLOW CTRLR REF 3065,109876,LOCAL,278,RC,,,,Outpatient,,,243.75,121.88,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,207.19,
1 KNEE TIB INSR PLUS X3 11,6095709,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 11,6095709,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - All Payer Rate,8026.20,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 11,6095709,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - Client Specific Rate,9282.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Blue Cross Blue Shield,Capital - Enhanced Network Rates,6360.90,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,UPMC For You,UPMC For You - Managed Medicaid,7280.00,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
1 KNEE TIB INSR PLUS X3 19,6095712,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Christian Healthcare Ministries,Christian Healthcare Ministries,9100.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Christian Healthcare Ministries,Christian Healthcare Ministries,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,3059.42,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
1 KNEE TIB INSR PLUS X3 9,6095708,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Medicaid,Medicaid,1.00,,,,,,,fee schedule,1.00,15470.00,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,0.12,,,,,,,fee schedule,0.12,6.40,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,Multiplan,Beech Street,6.40,,,,,,,percent of total billed charges,0.12,6.40,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,127.08,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Multiplan,Multiplan/Private Health Care System,535.92,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 2.0 CM,110467,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Wyoming Seminary,Wyoming Seminary,441.35,,,,,,,percent of total billed charges,226.98,535.92,
12/14 COCR HD 28MM X +3.5 8,184684,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3129.75,1564.88,Cigna,Cigna,1342.04,,,,,,,percent of total billed charges,1.00,2660.29,
12/14 COCR HD 28MM X +3.5 8,184684,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3129.75,1564.88,Wyoming Seminary,Wyoming Seminary,2190.82,,,,,,,percent of total billed charges,1.00,2660.29,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Christian Healthcare Ministries,Christian Healthcare Ministries,315.25,,,,,,,percent of total billed charges,226.98,535.92,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Aetna,First Health Network,412.98,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 2.0 CM,110472,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - All Payer Rate,278.05,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 2.0 CM,110472,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Wyoming Seminary,Wyoming Seminary,441.35,,,,,,,percent of total billed charges,1.00,535.92,
16 FR 1.0 CM,110473,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Intergroup Services,Intergroup Services,591.17,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.2 CM,110474,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Congregation of the Sister Servants,Congregation of the Sister Servants,591.17,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.2 CM,110474,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Multiplan,Beech Street,591.17,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.2 CM,110474,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Blue Cross Blue Shield,Capital - Special Network Rates,170.12,,,,,,,percent of total billed charges,1.00,591.17,
16 FR 1.2 CM,110474,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Shepard International Health Care,Shepard International Health Care - Allegheny International,347.75,,,,,,,percent of total billed charges,1.00,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Christian Healthcare Ministries,Christian Healthcare Ministries,347.75,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Jefferson Health Plan,Jefferson Health Plan - Managed Medicaid,1.20,,,,,,,fee schedule,1.00,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,UPMC For You,UPMC For You - Managed Medicaid,1.18,,,,,,,fee schedule,1.00,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,591.17,
16 FR 2.0 CM,110477,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Aetna,First Health Network,412.98,,,,,,,percent of total billed charges,226.98,535.92,
16 FR 2.0 CM,110477,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Multiplan,Beech Street,535.92,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.0 CM,110478,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,North Central Secure Treatment Unit,North Central Secure Treatment Unit,226.98,,,,,,,percent of total billed charges,226.98,535.92,
18 FR 1.2 CM,110479,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Intergroup Services,Intergroup Services,535.92,,,,,,,percent of total billed charges,226.98,535.92,
18 FR 1.7 CM,110481,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Multiplan,Multiplan/Private Health Care System,535.92,,,,,,,percent of total billed charges,226.98,535.92,
