1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Blue Cross Blue Shield,Capital - Special Network Rates,4451.72,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 22,6095713,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,3059.42,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
1 KNEE TIB INSR PLUS X3 22,6095713,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Blue Cross Blue Shield,Capital - Special Network Rates,4451.72,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 22,6095713,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 25,6095714,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Geisinger Family Plan,Geisinger Family Plan - Managed Medicaid,1.00,,,,,,,fee schedule,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 31,6095716,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,6552.00,,,,,,,percent of total billed charges,1.00,15470.00,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,Geisinger Family Plan,Geisinger Family Plan - Managed Medicaid,1.03,,,,,,,fee schedule,0.12,6.40,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,Jefferson Health Plan,Jefferson Health Plan - Managed Medicaid,0.12,,,,,,,fee schedule,0.12,6.40,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,Medicaid,Medicaid,1.00,,,,,,,fee schedule,1.00,127.08,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,United Healthcare,United Healthcare - Client Specific Rate,76.25,,,,,,,percent of total billed charges,1.00,127.08,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,North Central Secure Treatment Unit,North Central Secure Treatment Unit,250.38,,,,,,,percent of total billed charges,250.38,591.17,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Christian Healthcare Ministries,Christian Healthcare Ministries,315.25,,,,,,,percent of total billed charges,226.98,535.92,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Multiplan,Beech Street,535.92,,,,,,,percent of total billed charges,1.00,535.92,
12 FR 2.0 CM,110467,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
12FR 1.5CM ENFIT,280047,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Wyoming Seminary,Wyoming Seminary,486.85,,,,,,,percent of total billed charges,250.38,591.17,
14 FR 1.0 CM,110468,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Aetna,Aetna,295.07,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Blue Cross Blue Shield,Capital - Basic Network Rates,269.10,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Shepard International Health Care,Shepard International Health Care - Allegheny International,315.25,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 2.0 CM,110472,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,United Healthcare,United Healthcare - Client Specific Rate,321.56,,,,,,,percent of total billed charges,1.00,535.92,
14MM SCREW,192833,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,585.00,292.50,Blue Cross Blue Shield,Capital - Enhanced Network Rates,204.46,,,,,,,percent of total billed charges,1.00,497.25,
14MM SCREW,192833,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,585.00,292.50,UPMC For You,UPMC For You - Managed Medicaid,1.18,,,,,,,fee schedule,1.00,497.25,
16 FR 1.2 CM,110474,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Wyoming Seminary,Wyoming Seminary,486.85,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Intergroup Services,Intergroup Services,591.17,,,,,,,percent of total billed charges,250.38,591.17,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Blue Cross Blue Shield,Capital - Special Network Rates,170.12,,,,,,,percent of total billed charges,1.00,591.17,
16 FR 2.0 CM,110477,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Blue Cross Blue Shield,Capital - Basic Network Rates,269.10,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.0 CM,110478,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Blue Cross Blue Shield,Capital - Enhanced Network Rates,220.36,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.0 CM,110478,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Christian Healthcare Ministries,Christian Healthcare Ministries,315.25,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,North Central Secure Treatment Unit,North Central Secure Treatment Unit,226.98,,,,,,,percent of total billed charges,226.98,535.92,
18 FR 1.7 CM,110481,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Shepard International Health Care,Shepard International Health Care - Allegheny International,315.25,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 2.0 CM,110482,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Aetna,First Health Network,455.55,,,,,,,percent of total billed charges,250.38,591.17,
18 FR 2.0 CM,110482,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,United Healthcare,United Healthcare - Client Specific Rate,354.70,,,,,,,percent of total billed charges,1.00,591.17,
2 KNEE TIB INSR PLUS X3 11,115534,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,115534,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,6095718,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Integrated Health Plan,Integrated Health Plan,10920.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,6095718,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,115535,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Christian Healthcare Ministries,Christian Healthcare Ministries,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,115535,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,6095719,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,6095719,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,3059.42,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
2 KNEE TIB INSR PLUS X3 16,6095720,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 19,115537,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Beech Street,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 25,6095723,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Wyoming Seminary,Wyoming Seminary,12740.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 28,6095724,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 28,6095724,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 28,6095724,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Blue Cross Blue Shield,Capital - Enhanced Network Rates,6360.90,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 31,6095725,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - All Payer Rate,8026.20,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 9,6095717,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,6552.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2-Lumen 15 Cm X 14 Fr Acute Hemodialysis,288881,LOCAL,278,RC,C1752,HCPCS,,Outpatient,,,1170.00,585.00,Blue Cross Blue Shield,Capital - Special Network Rates,286.18,,,,,,,percent of total billed charges,1.00,994.50,
2-Lumen 15 Cm X 14 Fr Acute Hemodialysis,288881,LOCAL,278,RC,C1752,HCPCS,,Outpatient,,,1170.00,585.00,United Healthcare,United Healthcare - All Payer Rate,515.97,,,,,,,percent of total billed charges,1.00,994.50,
2.0X7MM FOSSA X-DR SCRW,184681,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,650.00,325.00,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,1.15,,,,,,,fee schedule,1.00,552.50,
2.0X7MM FOSSA X-DR SCRW,184681,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,650.00,325.00,Christian Healthcare Ministries,Christian Healthcare Ministries,325.00,,,,,,,percent of total billed charges,1.00,552.50,
2.0X9MM FOSSA X-DR SCRW,184680,LOCAL,278,RC,C1713,HCPCS,,Inpatient,,,650.00,325.00,Christian Healthcare Ministries,Christian Healthcare Ministries,325.00,,,,,,,percent of total billed charges,234.00,552.50,
2.0X9MM FOSSA X-DR SCRW,184680,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,650.00,325.00,Medicaid,Medicaid,1.00,,,,,,,fee schedule,1.00,552.50,
2.7X8MM HT X-DR SCREW,184682,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,617.50,308.75,Aetna,First Health Network,404.46,,,,,,,percent of total billed charges,1.00,524.88,
2.7X8MM HT X-DR SCREW,184682,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,617.50,308.75,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,1.15,,,,,,,fee schedule,1.00,524.88,
2.7X8MM HT X-DR SCREW,184682,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,617.50,308.75,Congregation of the Sister Servants,Congregation of the Sister Servants,524.88,,,,,,,percent of total billed charges,1.00,524.88,
222 V40+8 FEMORAL HEAD,6096577,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1989.00,994.50,Cigna,Cigna,852.88,,,,,,,percent of total billed charges,1.00,1690.65,
22MM COCR HEAD S,118935,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Blue Cross Blue Shield,Capital - Special Network Rates,397.48,,,,,,,percent of total billed charges,1.00,1381.25,
22MM COCR HEAD S,118935,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Intergroup Services,Intergroup Services,1381.25,,,,,,,percent of total billed charges,1.00,1381.25,
28MM BIOLOX DELTA HEAD L,118957,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,3575.00,1787.50,Integrated Health Plan,Integrated Health Plan,2145.00,,,,,,,percent of total billed charges,1287.00,3038.75,
28MM BIOLOX DELTA HEAD L,118957,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3575.00,1787.50,United Healthcare,United Healthcare - Client Specific Rate,1823.25,,,,,,,percent of total billed charges,1.00,3038.75,
