16 FR 2.0 CM,110477,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Aetna,Aetna,295.07,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.7 CM,110481,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Shepard International Health Care,Shepard International Health Care - Allegheny International,315.25,,,,,,,percent of total billed charges,226.98,535.92,
18 FR 2.0 CM,110482,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Congregation of the Sister Servants,Congregation of the Sister Servants,591.17,,,,,,,percent of total billed charges,1.00,591.17,
18 FR 2.0 CM,110482,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,United Healthcare,United Healthcare - All Payer Rate,306.72,,,,,,,percent of total billed charges,1.00,591.17,
2 KNEE TIB INSR PLUS X3 11,115534,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Integrated Health Plan,Integrated Health Plan,10920.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,115534,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Wyoming Seminary,Wyoming Seminary,12740.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,6095718,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Cigna,Cigna,7804.16,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 11,6095718,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,115535,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,6552.00,15470.00,
2 KNEE TIB INSR PLUS X3 13,115535,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 16,6095720,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Integrated Health Plan,Integrated Health Plan,10920.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 19,115537,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,Aetna,8517.60,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 19,115537,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,6552.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 19,6095721,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Shepard International Health Care,Shepard International Health Care - Allegheny International,9100.00,,,,,,,percent of total billed charges,1.00,15470.00,
2 KNEE TIB INSR PLUS X3 25,6095723,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,UPMC For You,UPMC For You - Managed Medicaid,7280.00,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
2 KNEE TIB INSR PLUS X3 25,6095723,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Wyoming Seminary,Wyoming Seminary,12740.00,,,,,,,percent of total billed charges,1.00,15470.00,
2-Lumen 15 Cm X 14 Fr Acute Hemodialysis,288881,LOCAL,278,RC,C1752,HCPCS,,Inpatient,,,1170.00,585.00,Wyoming Seminary,Wyoming Seminary,819.00,,,,,,,percent of total billed charges,421.20,994.50,
2-Lumen 15 Cm X 14 Fr Acute Hemodialysis,288881,LOCAL,278,RC,C1752,HCPCS,,Outpatient,,,1170.00,585.00,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,994.50,
2.0 FULL RADIUS 3410,6008434,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,225.42,112.71,UPMC For You,UPMC For You - Managed Medicaid,1.18,,,,,,,fee schedule,1.00,191.61,
2.0X7MM FOSSA X-DR SCRW,184681,LOCAL,278,RC,C1713,HCPCS,,Inpatient,,,650.00,325.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,234.00,,,,,,,percent of total billed charges,234.00,552.50,
2.0X7MM FOSSA X-DR SCRW,184681,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,650.00,325.00,Blue Cross Blue Shield,Capital - Enhanced Network Rates,227.17,,,,,,,percent of total billed charges,1.00,552.50,
2.0X7MM FOSSA X-DR SCRW,184681,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,650.00,325.00,United Healthcare,United Healthcare - All Payer Rate,286.65,,,,,,,percent of total billed charges,1.00,552.50,
2.7X8MM HT X-DR SCREW,184682,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,617.50,308.75,North Central Secure Treatment Unit,North Central Secure Treatment Unit,222.30,,,,,,,percent of total billed charges,1.00,524.88,
222 V40+8 FEMORAL HEAD,6096577,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,1989.00,994.50,Wyoming Seminary,Wyoming Seminary,1392.30,,,,,,,percent of total billed charges,716.04,1690.65,
22MM COCR HEAD S,118935,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,1625.00,812.50,Christian Healthcare Ministries,Christian Healthcare Ministries,812.50,,,,,,,percent of total billed charges,585.00,1381.25,
22MM COCR HEAD S,118935,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Aetna,Aetna,760.50,,,,,,,percent of total billed charges,1.00,1381.25,
22MM COCR HEAD S,118935,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,1381.25,
28MM BIOLOX DELTA HEAD L,118957,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3575.00,1787.50,North Central Secure Treatment Unit,North Central Secure Treatment Unit,1287.00,,,,,,,percent of total billed charges,1.00,3038.75,
28MM BIOLOX DELTA HEAD M,118956,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3575.00,1787.50,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,3038.75,
28MM COCR HEAD L,118938,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Aetna,Aetna,760.50,,,,,,,percent of total billed charges,1.00,1381.25,
28MM COCR HEAD L,118938,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Blue Cross Blue Shield,Capital - Basic Network Rates,693.55,,,,,,,percent of total billed charges,1.00,1381.25,
28MM COCR HEAD L,118938,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Congregation of the Sister Servants,Congregation of the Sister Servants,1381.25,,,,,,,percent of total billed charges,1.00,1381.25,
28MM COCR HEAD M,118937,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,1381.25,
28MM COCR HEAD S,118936,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,1625.00,812.50,Intergroup Services,Intergroup Services,1381.25,,,,,,,percent of total billed charges,585.00,1381.25,
28MM COCR HEAD XL,118939,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,North Central Secure Treatment Unit,North Central Secure Treatment Unit,585.00,,,,,,,percent of total billed charges,1.00,1381.25,
28MM COCR HEAD XL,118939,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,1625.00,812.50,Shepard International Health Care,Shepard International Health Care - Allegheny International,812.50,,,,,,,percent of total billed charges,1.00,1381.25,
3 KNEE TIB INSR PLUS X3 11,115543,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,6552.00,,,,,,,percent of total billed charges,6552.00,15470.00,
3 KNEE TIB INSR PLUS X3 11,115543,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 11,6095727,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
3 KNEE TIB INSR PLUS X3 13,115544,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 19,115546,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 19,115546,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Wyoming Seminary,Wyoming Seminary,12740.00,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 19,6095730,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - All Payer Rate,8026.20,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 22,6095731,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
3 KNEE TIB INSR PLUS X3 22,6095731,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Cigna,Cigna,7804.16,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 25,6095732,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Beech Street,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
3 KNEE TIB INSR PLUS X3 28,115549,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
3 KNEE TIB INSR PLUS X3 28,6095733,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
3 KNEE TIB INSR PLUS X3 28,6095733,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
3-LUMEN 20CM X 12FR PRESSURE INJECTABLE ACUTE HEMODIALYSIS,288882,LOCAL,278,RC,C1750,HCPCS,,Inpatient,,,1199.90,599.95,Integrated Health Plan,Integrated Health Plan,719.94,,,,,,,percent of total billed charges,431.96,1019.92,
3-LUMEN 20CM X 12FR PRESSURE INJECTABLE ACUTE HEMODIALYSIS,288882,LOCAL,278,RC,C1750,HCPCS,,Outpatient,,,1199.90,599.95,Aetna,Aetna,561.55,,,,,,,percent of total billed charges,1.00,1019.92,
3-LUMEN 20CM X 12FR PRESSURE INJECTABLE ACUTE HEMODIALYSIS,288882,LOCAL,278,RC,C1750,HCPCS,,Outpatient,,,1199.90,599.95,United Healthcare,United Healthcare - All Payer Rate,529.16,,,,,,,percent of total billed charges,1.00,1019.92,
3-Lumen 16 cm X 12FR Pressure Injectable Acute Hemodialysis,288879,LOCAL,278,RC,C1752,HCPCS,,Inpatient,,,1199.90,599.95,Congregation of the Sister Servants,Congregation of the Sister Servants,1019.92,,,,,,,percent of total billed charges,431.96,1019.92,
3.0MM HEADLESS COM SCREW LT 16,6054061,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,2250.30,1125.15,Blue Cross Blue Shield,Capital - Basic Network Rates,960.43,,,,,,,percent of total billed charges,1.00,1912.76,
