 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Inpatient,,,243.00,121.50,Multiplan,Beech Street,206.55,,,,,,,percent of total billed charges,87.48,206.55,
0.5MM FLOW CTRLR REF 3065,109876,LOCAL,278,RC,,,,Outpatient,,,243.75,121.88,Aetna,Aetna,114.08,,,,,,,percent of total billed charges,1.00,207.19,
0.5MM FLOW CTRLR REF 3065,109876,LOCAL,278,RC,,,,Outpatient,,,243.75,121.88,Blue Cross Blue Shield,Capital - Special Network Rates,59.62,,,,,,,percent of total billed charges,1.00,207.19,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,3059.42,,,,,,,percent of total billed charges,1.00,15470.00,Paid In Addition Excess of Threshold
1 KNEE TIB INSR PLUS X3 16,6095711,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Congregation of the Sister Servants,Congregation of the Sister Servants,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 19,6095712,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,North Central Secure Treatment Unit,North Central Secure Treatment Unit,6552.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 19,6095712,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - CHIP - Managed Medicare,2.50,,,,,,,fee schedule,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 22,6095713,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 25,6095714,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 25,6095714,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 31,6095716,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Multiplan,Multiplan/Private Health Care System,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
10F 11CM,6042489,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,67.60,33.80,Shepard International Health Care,Shepard International Health Care - Allegheny International,33.80,,,,,,,percent of total billed charges,1.00,57.46,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Inpatient,,,149.50,74.75,Wyoming Seminary,Wyoming Seminary,104.65,,,,,,,percent of total billed charges,53.82,127.08,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,Cigna,Cigna,64.11,,,,,,,percent of total billed charges,1.00,127.08,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,149.50,74.75,North Central Secure Treatment Unit,North Central Secure Treatment Unit,53.82,,,,,,,percent of total billed charges,1.00,127.08,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Multiplan,Multiplan/Private Health Care System,591.17,,,,,,,percent of total billed charges,250.38,591.17,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Intergroup Services,Intergroup Services,591.17,,,,,,,percent of total billed charges,1.00,591.17,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Christian Healthcare Ministries,Christian Healthcare Ministries,315.25,,,,,,,percent of total billed charges,226.98,535.92,
12 FR 1.7 CM,110466,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Cigna,Cigna,270.36,,,,,,,percent of total billed charges,1.00,535.92,
12/14 COCR HD 28MM X +3.5 8,184684,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3129.75,1564.88,UPMC For You,UPMC For You - Managed Medicaid,1251.90,,,,,,,percent of total billed charges,1.00,2660.29,Paid In Addition Excess of Threshold
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Integrated Health Plan,Integrated Health Plan,378.30,,,,,,,percent of total billed charges,226.98,535.92,
14 FR 1.2 CM,110469,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Integrated Health Plan,Integrated Health Plan,378.30,,,,,,,percent of total billed charges,1.00,535.92,
14 FR 1.5 CM,110470,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Medicaid,Medicaid,1.00,,,,,,,fee schedule,1.00,535.92,
