 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Outpatient,,,243.00,121.50,Blue Cross Blue Shield,Capital - Enhanced Network Rates,84.93,,,,,,,percent of total billed charges,1.00,206.55,
 HC SENSITITRE TREK MIC,3008718607,CDM,300,RC,,,,Outpatient,,,243.00,121.50,United Healthcare,United Healthcare - Client Specific Rate,123.93,,,,,,,percent of total billed charges,1.00,206.55,
0.5MM FLOW CTRLR REF 3065,109876,LOCAL,278,RC,,,,Inpatient,,,243.75,121.88,Multiplan,Multiplan/Private Health Care System,207.19,,,,,,,percent of total billed charges,87.75,207.19,
1 KNEE TIB INSR PLUS X3 13,6095710,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Intergroup Services,Intergroup Services,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 16,6095711,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Congregation of the Sister Servants,Congregation of the Sister Servants,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 19,6095712,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Aetna,First Health Network,11921.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 19,6095712,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 22,6095713,LOCAL,278,RC,C1776,HCPCS,,Inpatient,,,18200.00,9100.00,Christian Healthcare Ministries,Christian Healthcare Ministries,9100.00,,,,,,,percent of total billed charges,6552.00,15470.00,
1 KNEE TIB INSR PLUS X3 25,6095714,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Congregation of the Sister Servants,Congregation of the Sister Servants,15470.00,,,,,,,percent of total billed charges,1.00,15470.00,
1 KNEE TIB INSR PLUS X3 28,6095715,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,18200.00,9100.00,Wyoming Seminary,Wyoming Seminary,12740.00,,,,,,,percent of total billed charges,1.00,15470.00,
1/2NSS + KCL 20mEq 20-0.45 MEQ/L-% Soln 1000 mL Flex Cont,00338-0704-34,NDC,636,RC,J3480,HCPCS,,Outpatient,1000,ML,7.53,3.76,UPMC For You,UPMC For You - Managed Medicaid,0.13,,,,,,,fee schedule,0.12,6.40,
10F 11CM,6042489,LOCAL,278,RC,C1894,HCPCS,,Outpatient,,,67.60,33.80,United Healthcare,United Healthcare - All Payer Rate,29.81,,,,,,,percent of total billed charges,1.00,57.46,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Inpatient,,,149.50,74.75,Congregation of the Sister Servants,Congregation of the Sister Servants,127.08,,,,,,,percent of total billed charges,53.82,127.08,
11F 23CM BRITETIP,6042492,LOCAL,278,RC,C1894,HCPCS,,Inpatient,,,149.50,74.75,Shepard International Health Care,Shepard International Health Care - Allegheny International,74.75,,,,,,,percent of total billed charges,53.82,127.08,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Intergroup Services,Intergroup Services,591.17,,,,,,,percent of total billed charges,250.38,591.17,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Blue Cross Blue Shield,Capital - Enhanced Network Rates,243.08,,,,,,,percent of total billed charges,1.00,591.17,
12 FR 1.2 CM,110464,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Multiplan,Multiplan/Private Health Care System,591.17,,,,,,,percent of total billed charges,1.00,591.17,
12 FR 1.5 CM,110465,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Congregation of the Sister Servants,Congregation of the Sister Servants,535.92,,,,,,,percent of total billed charges,1.00,535.92,
12/14 COCR HD 28MM X +3.5 8,184684,LOCAL,278,RC,C1776,HCPCS,,Outpatient,,,3129.75,1564.88,North Central Secure Treatment Unit,North Central Secure Treatment Unit,1126.71,,,,,,,percent of total billed charges,1.00,2660.29,
12FR 1.5CM ENFIT,280047,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,695.50,347.75,Christian Healthcare Ministries,Christian Healthcare Ministries,347.75,,,,,,,percent of total billed charges,250.38,591.17,
14 FR 1.5 CM,110470,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,AmeriHealth,AmeriHealth Cartias - Managed Medicaid,1.15,,,,,,,fee schedule,1.00,535.92,
14 FR 1.5 CM,110470,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Geisinger Family Plan,Geisinger Family Plan - Managed Medicaid,1.00,,,,,,,fee schedule,1.00,535.92,
14 FR 1.7 CM,110471,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Congregation of the Sister Servants,Congregation of the Sister Servants,535.92,,,,,,,percent of total billed charges,226.98,535.92,
14 FR 2.0 CM,110472,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Aetna,First Health Network,412.98,,,,,,,percent of total billed charges,226.98,535.92,
14MM SCREW,192833,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,585.00,292.50,United Healthcare,United Healthcare - All Payer Rate,257.99,,,,,,,percent of total billed charges,1.00,497.25,
14MM SCREW,192833,LOCAL,278,RC,C1713,HCPCS,,Outpatient,,,585.00,292.50,United Healthcare,United Healthcare - Managed Medicaid,1.47,,,,,,,fee schedule,1.00,497.25,
16 FR 1.5 CM,110475,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Jefferson Health Plan,Jefferson Health Plan - Managed Medicaid,1.20,,,,,,,fee schedule,1.00,535.92,
16 FR 1.7 CM,110476,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,695.50,347.75,Medicaid,Medicaid,1.00,,,,,,,fee schedule,1.00,591.17,
18 FR 1.2 CM,110479,LOCAL,278,RC,B4088,HCPCS,,Outpatient,,,630.50,315.25,Intergroup Services,Intergroup Services,535.92,,,,,,,percent of total billed charges,1.00,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Integrated Health Plan,Integrated Health Plan,378.30,,,,,,,percent of total billed charges,226.98,535.92,
18 FR 1.5 CM,110480,LOCAL,278,RC,B4088,HCPCS,,Inpatient,,,630.50,315.25,Multiplan,Beech Street,535.92,,,,,,,percent of total billed charges,226.98,535.92,
