"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,,,,inpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,26213.49,,,,,,,case rate,6806.00,26213.49,,,facility
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",559,MS-DRG,,,,,,,,inpatient,,,,,United Healthcare,HMO/POS/PPO,6806.00,,,,,,,per diem,6806.00,55933.95,"When eligible charges exceed $288,750,  the contract rate will be a per diem of $10,255 for the entire admission. Excludes: Sex Reassignment Surgery, Eating Disorders, Bariatric Surgery, Nursery, Maternity, Sub-Acute, Rehabilitation, Hospice, Skilled Nursing Service, Nursery and Obstetrics.","When eligible charges exceed $288,750,  the contract rate will be a per diem of $10,255 for the entire admission. Excludes: Sex Reassignment Surgery, Eating Disorders, Bariatric Surgery, Nursery, Maternity, Sub-Acute, Rehabilitation, Hospice, Skilled Nursing Service, Nursery and Obstetrics.",facility
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",616,MS-DRG,,,,,,,,inpatient,,,,,CMS,Medicare,48081.94,,,,,,,case rate,6852.00,104597.59,,,facility
"ARIPiprazole 1,064 mg/3.9 mL suspension,extended rel syring 3.9 mL Syringe",J1944,HCPCS,0250,RC,65757040403,NDC,25000002,CDM,,inpatient,3.9,ML,10870.94,3804.83,Cigna Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,3728.73,3728.73,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 15 MG tablet,disintegrating 30 each BLIST PACK",0250,RC,13811069330,NDC,25000003,CDM,,,,inpatient,1,EA,89.98,31.50,Denver Health Employer Group,HMO/POS/PPO,30.86,34.30,,,,,0,percent of total billed charges,30.86,30.86,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 675 mg/2.4 mL suspension,extended rel syring 2.4 mL Syringe",J1943,HCPCS,0250,RC,65757050003,NDC,25000002,CDM,,outpatient,2.4,ML,6896.51,2413.78,CMS,Medicare,3.25,,,,,,,case rate,3.25,2365.50,,,facility
"ASY CARBAMAZEPIN 10,11-EPXID",80161,CPT,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,18.64,,,,,,,case rate,18.64,65.19,,,facility
"Acapatch, per sq cm",Q4325,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,131.27,,,,,,,case rate,131.27,3763.80,,,facility
"Adhesive remover, wipes",A4456,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,0.35,,,,,,,case rate,0.21,0.57,,,facility
"Afluria vacc, 3 yrs & >, im",Q2035,HCPCS,,,,,,,,outpatient,,,,,United Healthcare,HMO/POS/PPO,18.91,,,,,,,fee schedule,0.05,33.22,Fee Schedule Default PPR 50%,Fee Schedule Default PPR 50%,facility
"Albumin (human), 25%, 20 ml",P9046,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,21.23,,,,,,,case rate,21.23,111.34,,,facility
"Alloskin ac, 1 cm",Q4141,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,171.44,,,,,,,fee schedule,65.09,213.74,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Amnio wound, per square cm",Q4181,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,213.74,,,,,,,case rate,131.27,269.02,,,facility
"Amniply, per sq cm",Q4249,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,131.27,,,,,,,case rate,131.27,2610.80,,,facility
"Ardeograft, per sq cm",Q4333,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,131.27,,,,,,,case rate,131.27,1377.00,,,facility
"Artecent trident, per sq cm",Q4337,HCPCS,,,,,,,,outpatient,,,,,CMS,Medicare,131.27,,,,,,,case rate,131.27,213.74,,,facility
"Azithromycin dihydrate, oral",Q0144,HCPCS,,,,,,,,outpatient,,,,,Anthem Blue Cross Blue Shield,HMO/POS/PPO,127.28,,,,,,,fee schedule,21.07,127.28,,,facility
