"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",285,MS-DRG,,,,,,,,inpatient,,,,,Denver Health Medical Plan,Medicare Advantage,18628.12,,,,,,,case rate,6806.00,26213.49,,,facility
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,HMO/POS/PPO,33775.12,,,,,,,case rate,6806.00,33778.36,"If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750","If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750",facility
"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",894,MS-DRG,,,,,,,,inpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,26471.78,,,,,,,case rate,6806.00,26471.78,,,facility
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",617,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,Medicare Advantage,31592.51,,,,,,,case rate,6852.00,56095.91,,,facility
"ARIPiprazole 300 mg suspension,extended rel syring 1 each Syringe",J0401,HCPCS,0250,RC,59148004580,NDC,25000002,CDM,,inpatient,1,EA,6169.04,2159.17,Cigna Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,2115.98,2115.98,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 400 mg suspension,extended rel recon 1 each Vial",J0401,HCPCS,0250,RC,59148001971,NDC,25000002,CDM,,inpatient,1,EA,8225.38,2878.89,Denver Health Medical Plan,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,2821.31,2821.31,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 400 mg suspension,extended rel syring 1 each Syringe",J0401,HCPCS,0250,RC,59148007280,NDC,25000002,CDM,,outpatient,1,EA,8225.38,2878.89,Denver Health Medical Plan Elevate,HMO/POS/PPO,11.84,,,,,,,case rate,7.27,2821.31,,,facility
"ARIPiprazole 662 mg/2.4 mL suspension,extended rel syring 2.4 mL Syringe",J1944,HCPCS,0250,RC,65757040203,NDC,25000002,CDM,,inpatient,2.4,ML,6763.69,2367.30,Denver Health Medical Plan Elevate,HMO/POS/PPO,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,2319.95,2319.95,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 882 mg/3.2 mL suspension,extended rel syring 3.2 mL Syringe",J1944,HCPCS,0250,RC,65757040303,NDC,25000002,CDM,,inpatient,3.2,ML,9011.40,3153.99,Cigna Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,3090.91,3090.91,No services performed during 15-month lookback period.,,facility
"Activity therapy, per 15 min",H2032,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,HMO/POS/PPO,2.92,,,,,,,fee schedule,2.92,2.92,,,facility
"Afo, walk boot type, cus fab",L4631,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,1710.05,,,,,,,case rate,1573.56,2784.30,,,facility
"Amniotext patch, per sq cm",Q4247,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,131.27,,,,,,,case rate,131.27,2181.78,,,facility
"BUPivacaine-EPINEPHrine (PF) 0.5 %-1:200,000 solution 10 mL Vial",0250,RC,00409812610,NDC,25000003,CDM,,,,inpatient,10,ML,24.00,8.40,United Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,8.23,8.23,No services performed during 15-month lookback period.,,facility
"BUPivacaine-EPINEPHrine (PF) 0.5 %-1:200,000 solution 10 mL Vial",0250,RC,00409812610,NDC,25000003,CDM,,,,outpatient,10,ML,24.00,8.40,Anthem Blue Cross Blue Shield,HMO/POS/PPO,6.87,28.64,,,,,0,percent of total billed charges,6.87,17.88,No services performed during 15-month lookback period.,,facility
"BUPivacaine-EPINEPHrine (PF) 0.5 %-1:200,000 solution 30 mL Vial",0250,RC,00409174929,NDC,25000003,CDM,,,,outpatient,30,ML,27.75,9.72,Anthem Blue Cross Blue Shield,HMO/POS/PPO,7.95,28.64,,,,,0,percent of total billed charges,7.95,20.67,No services performed during 15-month lookback period.,,facility
"BUPivacaine-EPINEPHrine 0.5 %-1:200,000 solution 50 mL Vial",0250,RC,63323046357,NDC,25000003,CDM,,,,inpatient,50,ML,58.76,20.57,Cigna Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,20.15,20.15,No services performed during 15-month lookback period.,,facility
"Bio-K Plus 50 billion cell capsule,delayed release(DR/EC) 20 each Bottle",0250,RC,26608000118,NDC,25000003,CDM,,,,inpatient,1,EA,6.00,2.10,Cigna Healthcare,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,2.06,2.06,No services performed during 15-month lookback period.,,facility
"Bio-K Plus 50 billion cell capsule,delayed release(DR/EC) 20 each Bottle",0250,RC,26608000118,NDC,25000003,CDM,,,,inpatient,1,EA,6.00,2.10,Denver Health Employer Group,HMO/POS/PPO,2.06,34.30,,,,,0,percent of total billed charges,2.06,2.06,No services performed during 15-month lookback period.,,facility
"Brief chkin, 5-10, non-E/M",G2251,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,14.40,,,,,,,case rate,14.40,845.01,,,facility
"C-1 esterase, cinryze",J0598,HCPCS,,,,,,,,outpatient,,,,,CMS,Medicare,65.50,,,,,,,case rate,65.50,162.30,,,facility
"CATH, DRAINAGE",C1729,HCPCS,0272,RC,27257932,CDM,,,,inpatient,,,441.84,154.65,Denver Health Medical Plan Elevate,HMO/POS/PPO,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,151.55,151.55,No services performed during 15-month lookback period.,,facility
"CATH, DRAINAGE",C1729,HCPCS,0272,RC,27257933,CDM,,,,outpatient,,,441.84,154.65,Aetna Healthcare,Medicare Advantage,,,Service is bundled into other payable services where appropriate,,,,0,other,19.20,329.17,No services performed during 15-month lookback period.,,facility
