"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,,inpatient,,,,,CMS,Medicare,32719.25,,,,,,,case rate,6806.00,59410.13,,,facility
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",560,MS-DRG,,,,,,,,inpatient,,,,,Cigna Healthcare,HMO/POS/PPO,25649.22,,,,,,,fee schedule,6806.00,33778.36,"Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400","Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400",facility
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,,inpatient,,,,,Denver Health Medical Plan,Medicare Advantage,26955.94,,,,,,,case rate,6806.00,42458.09,,,facility
"ARIPiprazole 15 MG tablet,disintegrating 30 each BLIST PACK",0250,RC,13811069330,NDC,25000003,CDM,,,,outpatient,1,EA,89.98,31.50,Denver Health Employer Group,HMO/POS/PPO,30.86,34.30,,,,,0,percent of total billed charges,25.77,67.04,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 400 mg suspension,extended rel syring 1 each Syringe",J0401,HCPCS,0250,RC,59148007280,NDC,25000002,CDM,,outpatient,1,EA,8225.38,2878.89,United Healthcare,HMO/POS/PPO,11.24,,,,,,,fee schedule,7.27,2821.31,Fee Schedule Default PPR 50%,Fee Schedule Default PPR 50%,facility
"ARIPiprazole 441 mg/1.6 mL suspension,extended rel syring 1.6 mL Syringe",J1944,HCPCS,0250,RC,65757040103,NDC,25000002,CDM,,inpatient,1.6,ML,4505.71,1577.00,Anthem Blue Cross Blue Shield,HMO/POS/PPO,,,Not reimbursed per the contract,,,,0,other,1545.46,1545.46,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 675 mg/2.4 mL suspension,extended rel syring 2.4 mL Syringe",J1943,HCPCS,0250,RC,65757050003,NDC,25000002,CDM,,inpatient,2.4,ML,6896.51,2413.78,Denver Health Medical Plan,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,2365.50,2365.50,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 882 mg/3.2 mL suspension,extended rel syring 3.2 mL Syringe",J1944,HCPCS,0250,RC,65757040303,NDC,25000002,CDM,,outpatient,3.2,ML,9011.40,3153.99,CMS,Medicare,3.32,,,,,,,case rate,3.32,3090.91,,,facility
"Activate matrix, per sq cm",Q4301,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,131.27,,,,,,,case rate,131.27,4293.00,,,facility
"Add UE prost be/wd, ultlite",L7400,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,HMO/POS/PPO,320.29,,,,,,,fee schedule,320.29,621.24,,,facility
"Albumin (human), 25%, 50ml",P9047,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,82.62,,,,,,,fee schedule,53.08,278.35,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Albumin (human),5%, 50ml",P9041,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,10.62,,,,,,,case rate,10.62,60.21,,,facility
"Alloply, per sq cm",Q4323,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,131.27,,,,,,,case rate,131.27,2524.50,,,facility
"Amnio or derma tl, per sq cm",Q4225,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,2766.60,,,,,,,fee schedule,44.39,2889.18,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Amniotext patch, per sq cm",Q4247,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,2181.78,,,,,,,fee schedule,131.27,2181.78,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Amniply, per sq cm",Q4249,HCPCS,,,,,,,,outpatient,,,,,CMS,Medicare,131.27,,,,,,,case rate,131.27,2610.80,,,facility
"Artacent vericlen, per sq cm",Q4339,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,213.74,,,,,,,case rate,131.27,213.74,,,facility
"Autoimmune (rheumatoid arthritis), analysis of 12 biomarkers using immunoassays, utilizing serum, prognostic algorithm reported as a disease activity score",81490,CPT,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,840.65,,,,,,,case rate,0.02,2939.68,,,facility
"Autoimmune (rheumatoid arthritis), analysis of 12 biomarkers using immunoassays, utilizing serum, prognostic algorithm reported as a disease activity score",81490,CPT,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,840.65,,,,,,,case rate,0.02,2939.68,,,facility
"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",585,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,HMO/POS/PPO,57859.50,,,,,,,case rate,6852.00,57859.50,"If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750","If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750",facility
"BUPivacaine-EPINEPHrine (PF) 0.5 %-1:200,000 solution 10 mL Vial",0250,RC,00409174970,NDC,25000003,CDM,,,,inpatient,10,ML,24.00,8.40,Aetna Healthcare,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,8.23,8.23,No services performed during 15-month lookback period.,,facility
