"2D TTE w or w/o fol w/con,co",C8923,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,HMO/POS/PPO,1300.20,,,,,,,fee schedule,826.95,1346.43,,,facility
"A/D tx program, per diem",H2036,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,HMO/POS/PPO,702.88,,,,,,,fee schedule,702.88,702.88,,,facility
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,,inpatient,,,,,United Healthcare,HMO/POS/PPO,6806.00,,,,,,,per diem,6806.00,30808.08,"When eligible charges exceed $288,750,  the contract rate will be a per diem of $10,255 for the entire admission. Excludes: Sex Reassignment Surgery, Eating Disorders, Bariatric Surgery, Nursery, Maternity, Sub-Acute, Rehabilitation, Hospice, Skilled Nursing Service, Nursery and Obstetrics.","When eligible charges exceed $288,750,  the contract rate will be a per diem of $10,255 for the entire admission. Excludes: Sex Reassignment Surgery, Eating Disorders, Bariatric Surgery, Nursery, Maternity, Sub-Acute, Rehabilitation, Hospice, Skilled Nursing Service, Nursery and Obstetrics.",facility
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",282,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,Medicare Advantage,19894.58,,,,,,,case rate,6806.00,27995.65,,,facility
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,,inpatient,,,,,Cigna Healthcare,HMO/POS/PPO,44045.38,,,,,,,fee schedule,6806.00,59410.13,"Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400","Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400",facility
"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",561,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,HMO/POS/PPO,24111.37,,,,,,,case rate,6806.00,29155.05,"If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750","If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750",facility
"ARIPiprazole 441 mg/1.6 mL suspension,extended rel syring 1.6 mL Syringe",J1944,HCPCS,0250,RC,65757040103,NDC,25000002,CDM,,outpatient,1.6,ML,4505.71,1577.00,Aetna Healthcare,HMO/POS/PPO,8.20,,,,,,,fee schedule,3.32,1545.46,,,facility
"Acapatch, per sq cm",Q4325,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,131.27,,,,,,,case rate,131.27,3763.80,,,facility
"Activate matrix, per sq cm",Q4301,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,4293.00,,,,,,,fee schedule,131.27,4293.00,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"Afo w/ankle joint, prefab",L1971,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,582.34,,,,,,,case rate,535.85,948.17,,,facility
"Afo, walk boot type, cus fab",L4631,HCPCS,,,,,,,,outpatient,,,,,CMS,Medicare,1710.05,,,,,,,case rate,1573.56,2784.30,,,facility
"Albumin (human), 25%, 20 ml",P9046,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,21.23,,,,,,,case rate,21.23,111.34,,,facility
"Alloskin ac, 1 cm",Q4141,HCPCS,,,,,,,,outpatient,,,,,United Healthcare,HMO/POS/PPO,65.09,,,,,,,fee schedule,65.09,213.74,Fee Schedule Default PPR 50%,Fee Schedule Default PPR 50%,facility
"Aminolevulinic acid, 10% gel",J7345,HCPCS,,,,,,,,outpatient,,,,,Anthem Blue Cross Blue Shield,HMO/POS/PPO,8.66,,,,,,,fee schedule,1.77,8.66,,,facility
