 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,OPTUM,OPTUM COMMERICAL,Commercial,168000,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER;First Day of Preparative Therapy - 90 Days after discharge from Hospital after HSC Infusion,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"CONFORM BAND S W >=5""/YD",A6447,HCPCS,272,RC,2720082,CDM,,,OUTPATIENT,,,2,0.8,AETNA,AETNA,,1.7,85,PERCENT OF BILLED CHARGES,,,,0,0.8,1.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"HIGH COMPRES BAND W>=3""<5""YD",A6452,HCPCS,271,RC,2710017,CDM,,,OUTPATIENT,,,18,7.2,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,12.6,70,PERCENT OF BILLED CHARGES,,,,0,7.2,16.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND >=5""/YD",A6455,HCPCS,272,RC,2720371,CDM,,,OUTPATIENT,,,5,2,UNITED,UNITED HEALTHCARE- NON OPTIONS,,3.73,74.6,PERCENT OF BILLED CHARGES,,,,0,2,4.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND W <3""/YD",A6453,HCPCS,272,RC,2720373,CDM,,,OUTPATIENT,,,5,2,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,2.75,55,PERCENT OF BILLED CHARGES,,,,0,2,4.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND W <3""/YD",A6453,HCPCS,272,RC,2720373,CDM,,,OUTPATIENT,,,5,2,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,3.76,75.1,PERCENT OF BILLED CHARGES,,,,0,2,4.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
0.9 % NACL WITH KCL 40 MEQ 40-0.9 MEQ/L-% SOLN 1000 ML FLEX CONT,,,258,RC,RXRx00990711609,CDM,0990-7116-09,NDC,BOTH,1000,ML,55,22,FIRSTHEALTH,FIRST HEALTH NETWORK,,44,80,PERCENT OF BILLED CHARGES,,,,0,2,312.57,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
0.9 % NACL WITH KCL 40 MEQ 40-0.9 MEQ/L-% SOLN 1000 ML FLEX CONT,,,258,RC,RXRx00990711609,CDM,0990-7116-09,NDC,BOTH,1000,ML,55,22,MULTIPLAN,MULTIPLAN,,44,80,PERCENT OF BILLED CHARGES,,,,0,2,312.57,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
0.9 % NACL WITH KCL 40 MEQ 40-0.9 MEQ/L-% SOLN 1000 ML FLEX CONT,J3480,HCPCS,258,RC,RXRx00338069504,CDM,0338-0695-04,NDC,BOTH,1000,ML,20,8,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,16,80,PERCENT OF BILLED CHARGES,,,,0,8,27,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
11000 REMOVAL OF INFLAMED OR INFECTED SKIN,11000,HCPCS,761,RC,4500014,CDM,,,OUTPATIENT,,,1300,520,ADVHEALTH,STATE OF MS BLUE CROSS,,731.25,75,PERCENT OF BILLED CHARGES,,,,0,367.03,1300,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
